Notes,"Des paquets de feuilles ont été placés dans des cours d’eau pour mesurer la décomposition par les invertébrés et les microbes. Les paquets de feuilles étaient constitués de feuilles entières séchées dans des sacs à grosses mailles qui étaient ancrés au fond du cours d’eau. En 2003, les paquets de feuilles dans le cours d’eau était soit ancrés dans le cours d’eau (en surface), soit ancrés et enfouis à 1 centimètre sous la surface du lit du cours d’eau (enterrés). Huit réplicats ont été placés par bassin versant.",,,
Notes,"Des pièges à litière ont été placés à des intervalles de 10 mètres sur des berges alternées à chaque site, en évitant les obstructions évidentes comme les grandes branches en surplomb ou les jeunes conifères occasionnels. Les pièges mesuraient 0,76 mètre carré, avec des grilles de 0,14 mètre de haut avec desmailles de 2 millimètres au fond. Dix pièges ont été placés par bassin versant.",,,
Notes,"Les pièges à litière soufflée mesuraient 0,46 x 0,76 mètres, mais la surface correspond à la dimension longue au carré (0,5776 mètre carré) et est donc équivalente à la quantité déposée dans un piège à litière normal si la paroi latérale était abaissée.",,,
Notes,"Les tubes pour le dépôt de sédiments mesuraient les particules très fines de matière organique et inorganique. Les tubes étaient des tubes à centrifuger en polypropylène de 50 ml, d’un diamètre de 28 millimètres et d’une longueur de 11 centimètres (la surface est de 0,000615 mètre carré). Ils ont été enterrés à 9 centimètres de profondeur dans le lit du cours d’eau tout en laissant 2 centimètres de saillie à angle droit par rapport à l’écoulement du cours d’eau. Les tubes ont été placés à des intervalles de 5 mètres dans le cours d’eau et numérotés de 1 à 10 en allant vers l’amont. Les tubes ont été positionnés de manière à éviter les roches, les gros débris, le sable et la vase, où le tube ne pourrait pas rester debout, et ont été placés dans des tronçons étroits d’eau plate ou près de l’extrémité de bassins qui ne s’assècheraient pas au cours de la saison. Des sous-échantillons ont été mesurés s’il y avait beaucoup de matériel et les valeurs ont été multipliées pour obtenir le volume de l’échantillon original.",,,
Notes,"Les anneaux pour le dépôt de sédiments capturaient des particules de 1 à 4 millimètres (matière organique particulaire grossière) et de 0,25 à 1 millimètre (matière organique particulière fine). Les pièges à anneaux étaient constitués d’un anneau en plastique de 38 centimètres de diamètre avec une paroi de 5 centimètres, d’une surface de 0,1 mètre carré et d’un sac de collecte à mailles de 0,5 millimètre. Six pièges ont été placés par bassin versant. Les anneaux ont été placés dans les cours d’eau en creusant une dépression peu profonde dans le fond du cours d’eau, en plaçant l’anneau et le sac à mailles sur le fond, puis en retournant le matériel excavé au fond du cours d’eau à l’intérieur du piège. Les particules provenant des pièges ont été conservées dans du formol à 4 % puis passées dans une colonne d’élutriation où les particules organiques et flottantes ont été éliminées par bulles. Le contenu de l’élutriateur a été réparti dans des tamis grossiers ou fins et les particules de plus de 4 millimètres ont été éliminées.",,,
Notes,Les échantillons annulaires prélevés à l’automne 1997 sont considérés comme des échantillons pré-récolte parce que les particules contenues dans ces pièges provenaient principalement de la litière de l’année précédente.,,,
Notes,"Les carottes pour la charge de sédiments permanents ont été répétées dix fois dans la même section d’échantillonnage de 15 mètres pour chaque cours d’eau. Les carottes avaient un diamètre de 17,5 centimètres (surface de 0,025 mètre carré) et étaient enfoncées de 5 centimètres dans le substrat. Les grosses particules ont été retirées à la main (particules grossières et fines) et le substrat restant a été remué vigoureusement pour mettre en suspension les particules fines dans la colonne d’eau. Une pompe de cale avec une entrée de 2 millimètres a été utilisée pour pomper l’eau avec les sédiments en suspension dans un seau de collecte (particules très fines) qui a été passé à travers un tamis pour recueillir les particules plus petites que 0,25 millimètre. Le contenu a été conservé dans du formol à 4 % et filtré par aspiration sur un filtre en fibre de verre de 1,5 micron (pour les particules très fines de 1,5 à 250 microns). Les grandes particules de substrat ont été lavées à travers des tamis pour recueillir les particules de 1 à 4 millimètres (particules grossières) et de 0,25 à 1 millimètre (particules fines).",,,
Notes,Des enquêtes sur l’habitat des cours d’eau ont été menées une fois par an dans chaque bassin versant. Les caractéristiques de l’habitat ont été enregistrées tous les 10 mètres sur toute la longueur du cours d’eau. Le bassin versant 34M va de la route à 310 mètres en amont et le 34U commence à 320 mètres.,,,
Notes,Les valeurs S/O dans TLW_invertebrateDensity.csv indiquent que la taxonomie n’a pas été enregistrée cette année-là.,,,
Notes,Les valeurs S/O dans TLW_leafdiskDecomposition.csv et TLW_leafpackDecomposition.csv indiquent que l’échantillon a été exclu en raison de valeurs de masse négatives.,,,
Notes,Les valeurs S/O dans TLW_litterTraps.csv indiquent que ces pièges ont été placés dans le bassin versant mais qu’aucune donnée n’a été enregistrée ou que des échantillons ont été exclus en raison de la chute d’arbres/de grandes branches sur le piège ou que l’échantillon a été exclu en raison de valeurs de masse négatives.,,,
Notes,Les valeurs S/O dans TLW_litterBlowInTraps.csv indiquent que ces pièges ont été placés dans le bassin versant mais qu’aucune donnée n’a été enregistrée.,,,
Notes,Les valeurs S/O dans TLW_sedimentTubes.csv indiquent que ces tubes ont été placés dans le cours d’eau mais qu’aucune donnée n’a été enregistrée.,,,
Notes,Les valeurs S/O dans TLW_sedimentRings.csv indiquent que ces pièges ont été placés dans le bassin versant mais qu’aucune donnée n’a été enregistrée ou que l’échantillon a été exclu en raison de valeurs de masse négatives.,,,
Notes,Les valeurs S/O dans TLW_sedimentCores.csv indiquent que ces carottes ont été recueillies mais qu’aucune donnée n’a été enregistrée ou que l’échantillon a été exclu en raison de valeurs de masse négatives.,,,
Notes,Les valeurs S/O dans TLW_streamHabitatSurveys.csv indiquent que ces paramètres n’ont pas été enregistrés.,,,
,,,,
Dictionnaire de données pour TLW_invertebrateDensity.csv,Dictionnaire de données pour TLW_invertebrateDensity.csv,,,
Attribut,Définition,,,
bassin versant,numéro du bassin versant,,,
année,année de l’échantillonnage,,,
mois,mois de l’échantillonnage,,,
réplicat,numéro du réplicat,,,
Aeshna:Tricopetera,"densité (nombre par mètre carré) pour chaque taxonomie; les données de comptage peuvent être obtenues en multipliant toutes les valeurs par 0,33 mètre carré.",,,
,,,,
Dictionnaire de données pour TLW_invertebrateClassification.csv,Dictionnaire de données pour TLW_invertebrateClassification.csv,,,
Attribut,Définition,,,
règne,classification du règne,,,
sous-règne,classification du sous-règne,,,
super-phylum,classification du superphylum,,,
phylum,classification du phylum,,,
sous-phylum,classification du sous-phylum,,,
classe,classification de la classe,,,
sous-classe,classification de la sous-classe,,,
infra-classe,classification de l’infra-classe,,,
super-ordre,classification du superordre,,,
ordre,classification de l’ordre,,,
sous-ordre,classification du sous-ordre,,,
infra-ordre,classification de l’infra-ordre,,,
super-famille,classification de la superfamille,,,
famille,classification de la famille,,,
sous-famille,classification de la sous-famille,,,
genre,classification du genre,,,
tribu,classification de la tribu,,,
demande_tsn_SITI,numéro de série taxonomique (TSN) utilisé dans le Système d’information taxonomique intégré pour générer des colonnes de classification (consulté le 6 octobre 2021),,,
ID,code d’identification de la taxonomie correspondant aux en-têtes de colonne dans TLW_invertebrateDensity.csv,,,
niveau,niveau de classification de la taxonomie dans la colonne ID,,,
nombre,nombre total de taxonomies observées dans TLW_invertebrateDensity.csv,,,
nombre_pourcentagedutotal,pourcentage du nombre attribué à cette taxonomie dans TLW_invertebrateDensity.csv,,,
,,,,
Dictionnaires de données pour TLW_leafdiskDecomposition.csv,Dictionnaires de données pour TLW_leafdiskDecomposition.csv,,,
Attribut,Définition,,,
bassin versant,numéro du bassin versant,,,
année,année de l’échantillonnage,,,
réplicat,numéro de réplique,,,
position,position du paquet de feuilles dans le cours d’eau (enterré ou en surface),,,
date_entrée,date à laquelle les disques foliaires ont été placés dans le cours d’eau,,,
date_sortie,date à laquelle les disques foliaires ont été prélevés dans le cours d’eau,,,
joursplacement_nombre,nombre de jours pendant lesquels les disques foliaires sont restés dans le cours d’eau,,,
masseinitiale_g,masse initiale des disques foliaires (grammes),,,
pertemasse_g,perte de masse des disques foliaires après incubation dans le cours d’eau (grammes),,,
,,,,
Dictionnaire de données pour TLW_leafpackDecomposition.csv,Dictionnaire de données pour TLW_leafpackDecomposition.csv,,,
Attribut,Définition,,,
bassin versant,numéro du bassin versant,,,
année,année de l’échantillonnage,,,
réplicat,numéro du réplicat,,,
position,position du paquet de feuilles dans le cours d’eau (enterré ou en surface),,,
date_entrée,date à laquelle les paquets de feuilles ont été placés dans le cours d’eau,,,
date_sortie,date à laquelle les paquets de feuilles ont été recueillis dans le cours d’eau,,,
joursplacement_nombre,nombre de jours pendant lesquels les paquets de feuilles sont restés dans le cours d’eau,,,
masse initiale_g,masse initiale des paquets de feuilles (grammes),,,
pertemasse_g,perte de masse des paquets de feuilles après incubation dans le cours d’eau (grammes),,,
,,,,
Dictionnaire de données pour TLW_litterTraps.csv,Dictionnaire de données pour TLW_litterTraps.csv,,,
Attribut,Définition,,,
bassin versant,numéro du bassin versant,,,
année,année de l’échantillonnage,,,
piège_nombre,numéro du piège,,,
date_entrée,date à laquelle les pièges ont été placés le long du cours d’eau,,,
date_sortie,date à laquelle les pièges ont été prélevés le long du cours d’eau,,,
joursplacement_nombre,nombre de jours pendant lesquels les pièges sont restés dans le bassin versant,,,
secfoliaire_g,masse sèche des feuilles (grammes),,,
secautre_g,masse sèche de la biomasse non foliaire (grammes),,,
organiquefoliaire_gparm2,apport en poids sec organique ou sans cendres de la litière de feuilles par surface (grammes par mètre carré),,,
organiqueautre_gparm2,apport en poids sec organique ou sans cendres de la litière non foliaire par zone (grammes par mètre carré),,,
,,,,
Dictionnaire de données pour TLW_litterBlowInTraps.csv,Dictionnaire de données pour TLW_litterBlowInTraps.csv,,,
Attribut,Définition,,,
bassin versant,numéro du bassin versant,,,
année,année de l’échantillonnage,,,
piège_nombre,numéro du piège,,,
date_entrée,date à laquelle les pièges ont été placés le long du cours d’eau,,,
date_sortie,date à laquelle les pièges ont été prélevés le long du cours d’eau,,,
joursplacement_nombre,nombre de jours pendant lesquels les pièges sont restés dans le bassin versant,,,
secfoliaire_g,masse sèche des feuilles (grammes),,,
secautre_g,masse sèche de la biomasse non foliaire (grammes),,,
organiquefoliaire_gparm2,apport en poids sec organique ou sans cendres de la litière de feuilles par surface (grammes par mètre carré),,,
organiqueautre_gparm2,apport en poids sec organique ou sans cendres de la litière non foliaire par zone (grammes par mètre carré),,,
,,,,
Dictionnaire de données pour TLW_sedimentTubes.csv,Dictionnaire de données pour TLW_sedimentTubes.csv,,,
Attribut,Définition,,,
bassin versant,numéro du bassin versant,,,
Année,année de l’échantillonnage,,,
tube_nombre,nombre de réplicats de tubes,,,
date_entrée,date à laquelle les tubes ont été placés dans le cours d’eau,,,
date_sortie,date à laquelle les tubes ont été prélevés dans le cours d’eau,,,
joursplacement_nombre,nombre de jours où les tubes sont restés dans le cours d’eau,,,
inorganique_g,masse inorganique des sédiments très fins (grammes),,,
organique_g,masse organique ou poids sec sans cendres des sédiments très fins (grammes),,,
inorganique_gparm2,dépôt inorganique de sédiments très fins par surface (grammes par mètre carré),,,
organique_gparm2,dépôt organique ou poids sec sans cendres de sédiments très fins par zone (grammes par mètre carré),,,
,,,,
Dictionnaire de données pour TLW_sedimentRings.csv,Dictionnaire de données pour TLW_sedimentRings.csv,,,
Attribut,Définition,,,
bassin versant,numéro du bassin versant,,,
année,année de l’échantillonnage,,,
date_entrée,date à laquelle les anneaux ont été placés dans le cours d’eau,,,
date_sortie,date à laquelle les anneaux ont été prélevés dans le cours d’eau,,,
joursplacement_nombre,nombre de jours où les anneaux sont restés dans le cours d’eau,,,
piège_nombre,numéro du piège,,,
tamis_taille,taille du tamis utilisé pour cette partie de l’échantillon (grossier ou fin),,,
inorganique_g,masse inorganique des sédiments (grammes),,,
organique_g,masse organique ou poids sec sans cendres des sédiments (grammes),,,
organique_gparm2,dépôt organique ou poids sec sans cendres de sédiments très fins par surface (grammes par mètre carré),,,
,,,,
Dictionnaire de données pour TLW_sedimentCores.csv,Dictionnaire de données pour TLW_sedimentCores.csv,,,
Attribut,Définition,,,
bassin versant,numéro du bassin versant,,,
année,année de l’échantillonnage,,,
mois,mois de l’échantillonnage,,,
carotte_nombre,numéro de la carotte,,,
substrat_type,partie du substrat de chaque carotte (très fin; fin; grossier),,,
inorganique_g,masse inorganique des sédiments (grammes),,,
organique_g,masse organique ou poids sec sans cendres des sédiments (grammes),,,
inorganique_gparm2,masse inorganique des sédiments par surface (grammes par mètre carré),,,
organique_gparm2,masse organique ou poids sec sans cendres des sédiments par zone (grammes par mètre carré),,,
Sédimenttotal_gparm2,sédiment total de cette portion de substrat par zone (grammes par mètre carré),,,
,,,,
Dictionnaire de données pour TLW_streamHabitatSurveys.csv,Dictionnaire de données pour TLW_streamHabitatSurveys.csv,,,
Attribut,Définition,,,
bassin versant,numéro du bassin versant,,,
année,année de l’échantillonnage,,,
mois,mois de l’échantillonnage,,,
distance_m,distance sur la longueur du cours d’eau (mètres),,,
largeur_m,largeur du lit du cours d’eau (mètres),,,
affleurementsrocheux_pourcentage,substrat du fond composé d’affleurements rocheux ou de roche-mère (pourcentage),,,
blocsrocheux_pourcentage,substrat du fond composé de blocs rocheux d’une taille supérieure à celle d’un ballon de basketball (pourcentage),,,
gravats_pourcentage,substrat de fond composé de gravats dont la taille est comprise entre celle d’une balle de balle molle et d’un ballon de basketball (pourcentage),,,
gravier_pourcentage,substrat de fond composé de gravier de taille inférieure à celle d’une balle de balle molle (en pourcentage),,,
détritus_pourcentage,substrat de fond composé de détritus ou de matière organique fine/grossière (en pourcentage),,,
sablelimon_pourcentage,substrat de fond composé de sable ou de limon (pourcentage),,,
barragesbois_nombre,nombre total de barrages de débris de bois dans la section de 10 mètres; partout où l’eau est mise en commun ou susceptible de l’être,,,
barragesroche_nombre,nombre total de barrages de débris de roche dans la section de 10 mètres; partout où l’eau est mise en commun ou susceptible de l’être,,,
petitesbranches_nombre,nombre total de morceaux de bois d’un diamètre inférieur ou égal à 2 centimètres dans la section de 10 mètres,,,
grossesbranches_nombre,nombre total de morceaux de bois de plus de 2 centimètres de diamètre mais plus petits qu’un arbre dans la section de 10 mètres,,,
branchestotales_nombre, nombre total de petites et grandes branches dans la section de 10 mètres,,,
arbres_nombre,nombre total d’arbres dont le tronc principal ou un certain nombre de branches se trouvent dans le cours d’eau dans la section de 10 mètres,,,
grospaquetsfeuilles_nombre,nombre total de touffes de feuilles naturellement entraînées dans la section de 10 mètres; deux poignées de feuilles ou plus,,,
petitspaquetsfeuilles_nombre,nombre total de touffes de feuilles entraînées naturellement dans la section de 10 mètres; minimum de 5 à 10 feuilles jusqu’à un grand paquet de feuilles,,,
coulées_pourcentage,type de canal composé de coulées; en mouvement et sans surface brisée (pourcentage),,,
radier_pourcentage,type de canal composé de radiers; écoulement modéré à rapide avec surface brisée; érosion (pourcentage),,,
bassin_pourcentage,type de canal composé de bassins; élargissement distinct avec un débit lent ou nul; dépôt (pourcentage),,,
bassinimmersion_pourcentage,type de chenal composé de bassins d’immersion; petites chutes dans un petit bassin de la taille d’une brouette ou plus petit; turbulent (pourcentage),,,
chutes_pourcent,type de canal composé de chutes; grandes chutes dans un bassin plus grand que la taille d’une brouette (pourcentage),,,
feuillus_pourcentage,végétation arborée de chaque côté du lit du cours d’eau composée d’arbres à feuilles caduques dans la section de 10 mètres (pourcentage),,,
conifères_pourcentage,végétation arborée de chaque côté du lit du cours d’eau composée de conifères dans la section de 10 mètres (pourcentage),,,
surfacecanopée_pourcentage,zone du cours d’eau couverte par une végétation en surplomb (pourcentage),,,
pente,pente de la berge (faible; modérée; abrupte),,,
profondeur1_cm,première mesure de la profondeur du cours d’eau (centimètres),,,
profondeur2_cm,deuxième mesure de la profondeur du cours d’eau (centimètres),,,
profondeur3_cm,troisième mesure de la profondeur du cours d’eau (centimètres),,,
profondeur4_cm,quatrième mesure de la profondeur du cours d’eau (centimètres),,,
profondeur5_cm,mesure de la profondeur du cinquième cours d’eau (centimètres),,,
,,,,
Méthodes de laboratoire,Méthodes de laboratoire,,,
Fichier,Mesure,,Limite de détection,Méthodes de laboratoire
TLW_invertebrateDensity.csv,Densité des invertébrés,,0,"Les communautés d’invertébrés aquatiques ont été échantillonnées à l’aide de filets Surber (0,33 mètre de large; 1 mètre de long; parois à mailles de 363 millimètres). Les substrats du fond ont été remués à la main et les matériaux et organismes libérés ont flotté dans le filet de collecte. Les échantillons répétés ont été stratifiés par habitat de radier sur une section d’échantillonnage de 100 mètres (dix réplicats en 1995, 1999 et 2001; sept réplicats en 2004, 2008 et 2009). Les échantillons ont été conservés dans du formaldéhyde à 10 % et teintés avec de la phloxine B pour faciliter le triage à la main."
TLW_leafdiskDecomposition.csv,masseinitiale_g,,0.0001 g,Masse de dix disques foliaires avant d’être placés dans le cours d’eau
TLW_leafdiskDecomposition.csv,pertemasse_g,,0.0001 g,Dix disques foliaires dans un sac à mailles ont été placés dans les cours d’eau avec 5 à 8 réplicats par site. La décomposition par les microbes ou la perte de masse (grammes) a été calculée en prenant la masse initiale à la date_entrée et en la soustrayant de la masse finale à la date_sortie.
TLW_leafpackDecomposition.csv,masseinitiale_g,,0.0001 g,Masse des paquets de feuilles avant d’être placés dans le cours d’eau
TLW_leafpackDecomposition.csv,pertemasse_g,,0.0001 g,Les paquets de feuilles ont été placés dans le cours d’eau avec cinq (2003) ou huit (2004) réplicats par bassin versant. La décomposition par les microbes et les microbes ou la perte de masse (grammes) a été calculée en prenant la masse initiale_g à la date_entrée soustraite de la masse finale à la date_sortie.
TLW_litterTraps.csv,secfoliaire_g,,0.0001 g,"La litière a été triée en biomasse foliaire, séchée à 60 degrés Celsius pendant trois jours et pesée."
TLW_litterTraps.csv,secautre_g,,0.0001 g,"La litière a été triée en matériaux non foliaires, séchée à 60 degrés Celsius pendant trois jours et pesée."
TLW_litterTraps.csv,organiquefoliaire_gparm2,,0.0001 g,"Des sous-échantillons (n = 20) des prélèvements de litière de feuilles ont été brûlés à 500 degrés Celsius pendant deux heures pour obtenir la masse inorganique (poids des cendres) et le rapport entre la masse organique (poids sec sans cendres) et le poids sec a été déterminé. Ce facteur a été utilisé pour convertir le poids sec des feuilles en masse organique (facteur de 1,06) et divisé par la surface du piège (0,5776 mètre carré)."
TLW_litterTraps.csv,organiqueautre_gparm2,,0.0001 g,"Des sous-échantillons (n = 20) des prélèvements de litière non foliaire ont été brûlés à 500 degrés Celsius pendant deux heures pour obtenir la masse inorganique (poids des cendres) et la relation entre la masse organique (poids sec sans cendres) et le poids sec a été déterminée. Ce rapport a été utilisé pour convertir les poids secs non foliaires en masse organique (facteur de 1,02) et divisé par la surface du piège (0,5776 mètre carré)."
TLW_litterTraps.csv,secfoliaire_g,,0.01 g,"La litière a été triée en biomasse foliaire, séchée à 60 degrés Celsius pendant trois jours et pesée."
TLW_litterTraps.csv,secautre_g,,0.01 g,"La litière a été triée en matériaux non foliaires, séchée à 60 degrés Celsius pendant trois jours et pesée."
TLW_litterTraps.csv,organiquefoliaire_gparm2,,0.01 g,"Des sous-échantillons (n = 20) des prélèvements de litière de feuilles ont été brûlés à 500 degrés Celsius pendant deux heures pour obtenir la masse inorganique (poids des cendres) et la relation entre la masse organique (poids sec sans cendres) et le poids sec a été déterminée. Ce facteur a été utilisé pour convertir le poids sec des feuilles en masse organique (facteur de 1,06) et divisé par la surface du piège (0,5776 mètre carré)."
TLW_litterTraps.csv,organiqueautre_gparm2,,0.01 g,"Des sous-échantillons (n = 20) des prélèvements de litière non foliaire ont été brûlés à 500 degrés Celsius pendant deux heures pour obtenir la masse inorganique (poids des cendres) et la relation entre la masse organique (poids sec sans cendres) et le poids sec a été déterminée. Ce rapport a été utilisé pour convertir les poids secs non foliaires en masse organique (facteur de 1,02) et divisé par la surface du piège (0,5776 mètre carré)."
TLW_litterBlowInTraps.csv,secfoliaire_g,,0.01 g,"La litière a été triée en biomasse foliaire, séchée à 60 degrés Celsius pendant trois jours et pesée."
TLW_litterBlowInTraps.csv,secautre_g,,0.01 g,"La litière a été triée en matériaux non foliaires, séchée à 60 degrés Celsius pendant trois jours et pesée."
TLW_litterBlowInTraps.csv,organiquefoliaire_gparm2,,0.01 g,"Des sous-échantillons (n = 20) des prélèvements de litière de feuilles ont été brûlés à 500 degrés Celsius pendant deux heures pour obtenir la masse inorganique (poids des cendres) et la relation entre la masse organique (poids sec sans cendres) et le poids sec a été déterminée. Ce facteur a été utilisé pour convertir le poids sec des feuilles en masse organique (facteur de 1,06) et divisé par la surface du piège (0,5776 mètre carré)."
TLW_litterBlowInTraps.csv,organiqueautre_gparm2,,0.01 g,"Des sous-échantillons (n = 20) des prélèvements de litière non foliaire ont été brûlés à 500 degrés Celsius pendant deux heures pour obtenir la masse inorganique (poids des cendres) et la relation entre la masse organique (poids sec sans cendres) et le poids sec a été déterminée. Ce rapport a été utilisé pour convertir les poids secs non foliaires en masse organique (facteur de 1,02) et divisé par la surface du piège (0,5776 mètre carré)."
