catchment,year,trap_number,date_in,date_out,daysout_number,dryleaf_g,dryother_g,organicleaf_gperm2,organicother_gperm2
34M,2000,3,2000-05-29,2000-06-19,21,NA,1.13,NA,1.92
34M,2000,4,2000-05-29,2000-06-19,21,0,0.3,0,0.51
34M,2000,5,2000-05-29,2000-06-19,21,2.58,6.65,4.21,11.28
34M,2000,6,2000-05-29,2000-06-19,21,0.73,0.12,1.19,0.2
34M,2000,7,2000-05-29,2000-06-19,21,0.02,0.09,0.03,0.15
34M,2000,8,2000-05-29,2000-06-19,21,0,0.06,0,0.1
34M,2000,9,2000-05-29,2000-06-19,21,0.67,0.75,1.09,1.27
34M,2000,10,2000-05-29,2000-06-19,21,0.04,1.29,0.07,2.19
34M,2000,1,2000-10-19,2000-11-09,21,1.05,NA,1.71,NA
34M,2000,2,2000-10-19,2000-11-09,21,1.76,NA,2.87,NA
34M,2000,3,2000-10-19,2000-11-09,21,5.45,NA,8.89,NA
34M,2000,4,2000-10-19,2000-11-09,21,3.07,NA,5.01,NA
34M,2000,5,2000-10-19,2000-11-09,21,0.98,NA,1.6,NA
34M,2000,6,2000-10-19,2000-11-09,21,2.57,NA,4.19,NA
34M,2000,7,2000-10-19,2000-11-09,21,0.89,NA,1.45,NA
34M,2000,8,2000-10-19,2000-11-09,21,0.87,NA,1.42,NA
34M,2000,9,2000-10-19,2000-11-09,21,0.86,NA,1.4,NA
34M,2000,10,2000-10-19,2000-11-09,21,0.97,NA,1.58,NA
34M,2000,1,2000-09-28,2000-10-19,21,8.43,NA,13.76,NA
34M,2000,2,2000-09-28,2000-10-19,21,3.46,NA,5.65,NA
34M,2000,3,2000-09-28,2000-10-19,21,14.75,NA,24.07,NA
34M,2000,4,2000-09-28,2000-10-19,21,10.66,NA,17.4,NA
34M,2000,5,2000-09-28,2000-10-19,21,21.44,NA,34.99,NA
34M,2000,6,2000-09-28,2000-10-19,21,11.93,NA,19.47,NA
34M,2000,7,2000-09-28,2000-10-19,21,12.53,NA,20.45,NA
34M,2000,8,2000-09-28,2000-10-19,21,12.56,NA,20.5,NA
34M,2000,9,2000-09-28,2000-10-19,21,10.39,NA,16.96,NA
34M,2000,10,2000-09-28,2000-10-19,21,12.91,NA,21.07,NA
34M,2000,1,2000-08-17,2000-09-07,21,0.28,NA,0.46,NA
34M,2000,2,2000-08-17,2000-09-07,21,NA,NA,NA,NA
34M,2000,3,2000-08-17,2000-09-07,21,1.59,0.19,2.6,0.32
34M,2000,4,2000-08-17,2000-09-07,21,0.08,NA,0.13,NA
34M,2000,5,2000-08-17,2000-09-07,21,2.79,0.44,4.55,0.75
34M,2000,6,2000-08-17,2000-09-07,21,1.03,NA,1.68,NA
34M,2000,7,2000-08-17,2000-09-07,21,0.89,NA,1.45,NA
34M,2000,8,2000-08-17,2000-09-07,21,0.23,NA,0.38,NA
34M,2000,9,2000-08-17,2000-09-07,21,0.3,NA,0.49,NA
34M,2000,10,2000-08-17,2000-09-07,21,1.41,NA,2.3,NA
34M,2000,1,2000-09-07,2000-09-28,21,1.42,NA,2.32,NA
34M,2000,2,2000-09-07,2000-09-28,21,0.41,NA,0.67,NA
34M,2000,3,2000-09-07,2000-09-28,21,8.37,NA,13.66,NA
34M,2000,4,2000-09-07,2000-09-28,21,1.08,NA,1.76,NA
34M,2000,5,2000-09-07,2000-09-28,21,14.41,NA,23.52,NA
34M,2000,6,2000-09-07,2000-09-28,21,1.77,NA,2.89,NA
34M,2000,7,2000-09-07,2000-09-28,21,2.24,NA,3.66,NA
34M,2000,8,2000-09-07,2000-09-28,21,1.6,NA,2.61,NA
34M,2000,9,2000-09-07,2000-09-28,21,2.57,0.7,4.19,1.19
34M,2000,10,2000-09-07,2000-09-28,21,4.47,0.94,7.3,1.59
97,2000,1,2000-07-28,2000-08-18,21,0.01,0.03,0.02,0.05
97,2000,2,2000-07-28,2000-08-18,21,0.1,0.03,0.16,0.05
97,2000,3,2000-07-28,2000-08-18,21,0.16,0.02,0.26,0.03
97,2000,4,2000-07-28,2000-08-18,21,NA,NA,NA,NA
97,2000,5,2000-07-28,2000-08-18,21,0.06,0.02,0.1,0.03
97,2000,6,2000-07-28,2000-08-18,21,NA,NA,NA,NA
97,2000,7,2000-07-28,2000-08-18,21,0.5,NA,0.82,NA
97,2000,8,2000-07-28,2000-08-18,21,NA,NA,NA,NA
97,2000,9,2000-07-28,2000-08-18,21,NA,NA,NA,NA
97,2000,10,2000-07-28,2000-08-18,21,0.03,0.02,0.05,0.03
97,2000,1,2000-07-10,2000-07-31,21,0.58,0.08,0.95,0.14
97,2000,2,2000-07-10,2000-07-31,21,0.04,0.07,0.07,0.12
97,2000,3,2000-07-10,2000-07-31,21,0.26,0.14,0.42,0.24
97,2000,4,2000-07-10,2000-07-31,21,0.55,0.06,0.9,0.1
97,2000,5,2000-07-10,2000-07-31,21,0.01,NA,0.02,NA
97,2000,6,2000-07-10,2000-07-31,21,0.11,0.01,0.18,0.02
97,2000,7,2000-07-10,2000-07-31,21,0.04,0.11,0.07,0.19
97,2000,8,2000-07-10,2000-07-31,21,NA,0.03,NA,0.05
97,2000,9,2000-07-10,2000-07-31,21,0.05,0.04,0.08,0.07
97,2000,10,2000-07-10,2000-07-31,21,0.03,0.01,0.05,0.02
97,2000,1,2000-06-15,2000-07-06,21,NA,NA,NA,NA
97,2000,2,2000-06-15,2000-07-06,21,0.3,NA,0.49,NA
97,2000,3,2000-06-15,2000-07-06,21,NA,0.06,NA,0.1
97,2000,4,2000-06-15,2000-07-06,21,0.08,NA,0.13,NA
97,2000,5,2000-06-15,2000-07-06,21,0.54,NA,0.88,NA
97,2000,6,2000-06-15,2000-07-06,21,0.37,0.02,0.6,0.03
97,2000,7,2000-06-15,2000-07-06,21,0.13,NA,0.21,NA
97,2000,8,2000-06-15,2000-07-06,21,NA,NA,NA,NA
97,2000,9,2000-06-15,2000-07-06,21,0.08,NA,0.13,NA
97,2000,10,2000-06-15,2000-07-06,21,0.05,NA,0.08,NA
97,2000,1,2000-05-29,2000-06-19,21,0.08,0.24,0.13,0.41
97,2000,2,2000-05-29,2000-06-19,21,0.05,0.18,0.08,0.31
97,2000,3,2000-05-29,2000-06-19,21,0.29,0.42,0.47,0.71
97,2000,4,2000-05-29,2000-06-19,21,0.14,0.27,0.23,0.46
97,2000,5,2000-05-29,2000-06-19,21,0.69,0.28,1.13,0.47
97,2000,6,2000-05-29,2000-06-19,21,0,0.87,0,1.48
97,2000,7,2000-05-29,2000-06-19,21,0.04,0.3,0.07,0.51
97,2000,8,2000-05-29,2000-06-19,21,0.31,0.49,0.51,0.83
97,2000,9,2000-05-29,2000-06-19,21,NA,0.01,NA,0.02
97,2000,10,2000-05-29,2000-06-19,21,0.02,0.08,0.03,0.14
97,2000,1,2000-10-19,2000-11-09,21,0.28,NA,0.46,NA
97,2000,2,2000-10-19,2000-11-09,21,12,NA,19.58,NA
97,2000,3,2000-10-19,2000-11-09,21,4.78,NA,7.8,NA
97,2000,4,2000-10-19,2000-11-09,21,8.91,NA,14.54,NA
97,2000,5,2000-10-19,2000-11-09,21,6.25,0.5,10.2,0.85
97,2000,6,2000-10-19,2000-11-09,21,7.39,NA,12.06,NA
97,2000,7,2000-10-19,2000-11-09,21,19.06,NA,31.11,NA
97,2000,8,2000-10-19,2000-11-09,21,1.11,NA,1.81,NA
97,2000,9,2000-10-19,2000-11-09,21,5.59,NA,9.12,NA
97,2000,10,2000-10-19,2000-11-09,21,12.62,7.23,20.6,12.26
97,2000,1,2000-09-28,2000-10-19,21,13.26,0.06,21.64,0.1
97,2000,2,2000-09-28,2000-10-19,21,8.23,NA,13.43,NA
97,2000,3,2000-09-28,2000-10-19,21,9.65,NA,15.75,NA
97,2000,4,2000-09-28,2000-10-19,21,12.58,NA,20.53,NA
97,2000,5,2000-09-28,2000-10-19,21,8.17,NA,13.33,NA
97,2000,6,2000-09-28,2000-10-19,21,4.02,NA,6.56,NA
97,2000,7,2000-09-28,2000-10-19,21,21.01,NA,34.29,NA
97,2000,8,2000-09-28,2000-10-19,21,13.24,NA,21.61,NA
97,2000,9,2000-09-28,2000-10-19,21,7.93,NA,12.94,NA
97,2000,10,2000-09-28,2000-10-19,21,17.13,NA,27.96,NA
97,2000,1,2000-08-17,2000-09-07,21,NA,NA,NA,NA
97,2000,2,2000-08-17,2000-09-07,21,1.02,NA,1.66,NA
97,2000,3,2000-08-17,2000-09-07,21,1.05,NA,1.71,NA
97,2000,4,2000-08-17,2000-09-07,21,0.33,NA,0.54,NA
97,2000,5,2000-08-17,2000-09-07,21,NA,NA,NA,NA
97,2000,6,2000-08-17,2000-09-07,21,0.58,2.88,0.95,4.88
97,2000,7,2000-08-17,2000-09-07,21,0.43,NA,0.7,NA
97,2000,8,2000-08-17,2000-09-07,21,0.03,NA,0.05,NA
97,2000,9,2000-08-17,2000-09-07,21,0.32,NA,0.52,NA
97,2000,10,2000-08-17,2000-09-07,21,1.26,0,2.06,0
97,2000,1,2000-09-07,2000-09-28,21,2.27,NA,3.7,NA
97,2000,2,2000-09-07,2000-09-28,21,0.8,NA,1.31,NA
97,2000,3,2000-09-07,2000-09-28,21,2.98,NA,4.86,NA
97,2000,4,2000-09-07,2000-09-28,21,0.83,NA,1.35,NA
97,2000,5,2000-09-07,2000-09-28,21,0.76,0.12,1.24,0.2
97,2000,6,2000-09-07,2000-09-28,21,0.86,NA,1.4,NA
97,2000,7,2000-09-07,2000-09-28,21,5.17,NA,8.44,NA
97,2000,8,2000-09-07,2000-09-28,21,1.66,NA,2.71,NA
97,2000,9,2000-09-07,2000-09-28,21,1.38,0.72,2.25,1.22
97,2000,10,2000-09-07,2000-09-28,21,3.16,NA,5.16,NA
