catchment,year,trap_number,date_in,date_out,daysout_number,dryleaf_g,dryother_g,organicleaf_gperm2,organicother_gperm2
33,1996,6,1996-09-07,1996-09-27,21,13.2293,1.412,21.4664,2.381
33,1996,7,1996-09-07,1996-09-27,21,17.2019,1.1699,27.9125,1.9728
33,1996,8,1996-09-07,1996-09-27,21,14.5884,1.1168,23.6717,1.8832
33,1996,9,1996-09-07,1996-09-27,21,14.9132,1.3982,24.1988,2.3577
33,1996,10,1996-09-07,1996-09-27,21,13.4361,0.2758,21.802,0.4651
33,1996,1,1996-07-09,1996-07-29,21,0.1749,0.653,0.2838,1.1011
33,1996,2,1996-07-09,1996-07-29,21,0.449,0.4806,0.7286,0.8104
33,1996,3,1996-07-09,1996-07-29,21,0.1797,1.2232,0.2916,2.0627
33,1996,4,1996-07-09,1996-07-29,21,0.2344,0.38,0.3803,0.6408
33,1996,5,1996-07-09,1996-07-29,21,0.8668,0.1547,1.4065,0.2609
33,1996,6,1996-07-09,1996-07-29,21,0.8509,0.53,1.3807,0.8937
33,1996,7,1996-07-09,1996-07-29,21,0.7611,0.2495,1.235,0.4207
33,1996,8,1996-07-09,1996-07-29,21,0.0746,0.6067,0.121,1.0231
33,1996,9,1996-07-09,1996-07-29,21,1.194,0.7696,1.9374,1.2978
33,1996,10,1996-07-09,1996-07-29,21,0.8892,1.1711,1.4429,1.9748000000000001
33,1996,1,1996-06-18,1996-07-08,21,0.352,3.2069,0.5712,5.4077
33,1996,2,1996-06-18,1996-07-08,21,0.2239,3.1394,0.3633,5.2939
33,1996,3,1996-06-18,1996-07-08,21,0.7231,2.5898,1.1733,4.3671
33,1996,4,1996-06-18,1996-07-08,21,1.2058,2.9618,1.9566,4.9944
33,1996,5,1996-06-18,1996-07-08,21,0.5745,0.9223,0.9322,1.5553
33,1996,6,1996-06-18,1996-07-08,21,0.7968,1.0673,1.2929,1.7998
33,1996,7,1996-06-18,1996-07-08,21,0.2389,1.3743,0.3876,2.3174
33,1996,8,1996-06-18,1996-07-08,21,0.0686,3.0722,0.1113,5.1806
33,1996,9,1996-06-18,1996-07-08,21,0.8576,3.674,1.3916,6.1954
33,1996,10,1996-06-18,1996-07-08,21,0.14,1.7636,0.2272,2.9739
33,1996,1,1996-08-20,1996-09-09,21,5.1863,0.6131,8.4155,1.0339
33,1996,2,1996-08-20,1996-09-09,21,5.3877,0.7053,8.7423,1.1893
33,1996,3,1996-08-20,1996-09-09,21,2.1577,3.4616,3.5012,5.8372
33,1996,4,1996-08-20,1996-09-09,21,1.2593,0.5001,2.0434,0.8433
33,1996,5,1996-08-20,1996-09-09,21,1.8354,1.2058,2.9782,2.0333
33,1996,6,1996-08-20,1996-09-09,21,4.4443,1.3917,7.2115,2.3468
33,1996,7,1996-08-20,1996-09-09,21,4.4112,0.7854,7.1578,1.3244
33,1996,8,1996-08-20,1996-09-09,21,3.8091,2.9607,6.1808,4.9926
33,1996,9,1996-08-20,1996-09-09,21,NA,NA,NA,NA
33,1996,10,1996-08-20,1996-09-09,21,3.772,0.8093,6.1206,1.3647
33,1997,1,1997-09-20,1997-10-10,21,58.84,5.3333,95.4762,8.9934
33,1997,2,1997-09-20,1997-10-10,21,72.22,1.1179,117.1872,1.8851
33,1997,3,1997-09-20,1997-10-10,21,76.47,1.6448,124.0834,2.7736
33,1997,4,1997-09-20,1997-10-10,21,68.87,3.8056,111.7513,6.4173
33,1997,5,1997-09-20,1997-10-10,21,70.83,3.6454,114.9317,6.1471
33,1997,6,1997-09-20,1997-10-10,21,42.26,2.3621,68.5728,3.9831
33,1997,7,1997-09-20,1997-10-10,21,53.25,0.4644,86.4057,0.7831
33,1997,8,1997-09-20,1997-10-10,21,76,3.8701,123.3208,6.5261
33,1997,9,1997-09-20,1997-10-10,21,64.26,6.2492,104.2709,10.5379
33,1997,10,1997-09-20,1997-10-10,21,59.52,5.562,96.5796,9.3791
33,1997,1,1997-06-27,1997-07-17,21,0.045,0.8599,0.073,1.45
33,1997,2,1997-06-27,1997-07-17,21,0.4611,0.8037,0.7482,1.3553
33,1997,3,1997-06-27,1997-07-17,21,0.3365,1.0915,0.546,1.8406
33,1997,4,1997-06-27,1997-07-17,21,0.7107,0.3092,1.1532,0.5214
33,1997,5,1997-06-27,1997-07-17,21,0.1837,0.7171,0.2981,1.2092
33,1997,6,1997-06-27,1997-07-17,21,0.2333,2.0308,0.3786,3.4245
33,1997,7,1997-06-27,1997-07-17,21,0.0484,0.3701,0.0785,0.6241
33,1997,8,1997-06-27,1997-07-17,21,0.2022,3.7889,0.3281,6.3891
33,1997,9,1997-06-27,1997-07-17,21,0.2128,1.4602,0.3453,2.4623
33,1997,10,1997-06-27,1997-07-17,21,0.0465,0.9384,0.0755,1.5824
33,1997,1,1997-08-30,1997-09-19,21,30.62,10.819,49.6853,18.2438
33,1997,2,1997-08-30,1997-09-19,21,28.56,6.4128,46.3426,10.8137
33,1997,3,1997-08-30,1997-09-19,21,34.33,0.5884,55.7053,0.9922
33,1997,4,1997-08-30,1997-09-19,21,20.76,9.7474,33.686,16.4368
33,1997,5,1997-08-30,1997-09-19,21,23.39,0.9706,37.9536,1.6367
33,1997,6,1997-08-30,1997-09-19,21,36.12,0.2023,58.6098,0.3411
33,1997,7,1997-08-30,1997-09-19,21,39.34,0.2197,63.8347,0.3705
33,1997,8,1997-08-30,1997-09-19,21,41.17,3.5845,66.8042,6.0445
33,1997,9,1997-08-30,1997-09-19,21,24.3,7.1238,39.4302,12.0127
33,1997,10,1997-08-30,1997-09-19,21,26.09,29.9556,42.3347,50.5134
33,1997,1,1997-06-06,1997-06-26,21,0.1838,3.6332,0.2982,6.1266
33,1997,2,1997-06-06,1997-06-26,21,0.1717,2.448,0.2786,4.128
33,1997,3,1997-06-06,1997-06-26,21,0.0216,2.1737,0.035,3.6655
33,1997,4,1997-06-06,1997-06-26,21,0.1287,2.0573,0.2088,3.4692
33,1997,5,1997-06-06,1997-06-26,21,0.0801,2.3248,0.13,3.9203
33,1997,6,1997-06-06,1997-06-26,21,0.4503,1.3362,0.7307,2.2532
33,1997,7,1997-06-06,1997-06-26,21,0.0238,1.6755,0.0386,2.8254
33,1997,8,1997-06-06,1997-06-26,21,0.0762,6.006,0.1236,10.1278
33,1997,9,1997-06-06,1997-06-26,21,0.2335,2.5267,0.3789,4.2607
33,1997,10,1997-06-06,1997-06-26,21,0.4421,1.9242,0.7174,3.2447
33,1997,1,1997-08-09,1997-08-29,21,1.5105,0.8725,2.451,1.4713
33,1997,2,1997-08-09,1997-08-29,21,0.8521,0.9499,1.3827,1.6018
33,1997,3,1997-08-09,1997-08-29,21,2.3476,1.5813,3.8093,2.6665
33,1997,4,1997-08-09,1997-08-29,21,0.9218,0.4187,1.4958,0.706
33,1997,5,1997-08-09,1997-08-29,21,0.6112,3.1505,0.9918,5.3126
33,1997,6,1997-08-09,1997-08-29,21,1.5372,1.0675,2.4943,1.8001
33,1997,7,1997-08-09,1997-08-29,21,1.4753,1.5647,2.3939,2.6385
33,1997,8,1997-08-09,1997-08-29,21,6.1249,17.7578,9.9385,29.9445
33,1997,9,1997-08-09,1997-08-29,21,0.7851,3.0566,1.2739,5.1543
33,1997,10,1997-08-09,1997-08-29,21,5.0493,7.2711,8.1932,12.2611
33,1997,1,1997-10-11,1997-10-31,21,7.6625,0.1674,12.4335,0.2823
33,1997,2,1997-10-11,1997-10-31,21,4.7925,0.0153,7.7765,0.0258
33,1997,3,1997-10-11,1997-10-31,21,4.2506,0.2051,6.8972,0.3459
33,1997,4,1997-10-11,1997-10-31,21,3.2029,0.1801,5.1972,0.3037
33,1997,5,1997-10-11,1997-10-31,21,4.8523,4.1179,7.8735,6.9439
33,1997,6,1997-10-11,1997-10-31,21,5.7216,0.3808,9.2841,0.6421
33,1997,7,1997-10-11,1997-10-31,21,1.9182,0.5493,3.1126,0.9263
33,1997,8,1997-10-11,1997-10-31,21,1.4276,0.1357,2.3165,0.2288
33,1997,9,1997-10-11,1997-10-31,21,0.7785,0.1848,1.2632,0.3116
33,1997,10,1997-10-11,1997-10-31,21,1.6741,0.3186,2.7165,0.5372
33,1997,1,1997-05-17,1997-06-06,21,0.5801,2.4221,0.9413,4.0843
33,1997,2,1997-05-17,1997-06-06,21,NA,2.8755,NA,4.8489
33,1997,3,1997-05-17,1997-06-06,21,0.1152,0.6576,0.1869,1.1089
33,1997,4,1997-05-17,1997-06-06,21,NA,0.7673,NA,1.2939
33,1997,5,1997-05-17,1997-06-06,21,0.0706,0.4462,0.1146,0.7524
33,1997,6,1997-05-17,1997-06-06,21,0.8399,4.0715,1.3629,6.8657
33,1997,7,1997-05-17,1997-06-06,21,NA,0.3109,NA,0.5243
33,1997,8,1997-05-17,1997-06-06,21,0.0544,1.0496,0.0883,1.7699
33,1997,9,1997-05-17,1997-06-06,21,NA,0.5706,NA,0.9622
33,1997,10,1997-05-17,1997-06-06,21,0.9268,0.4642,1.5039,0.7828
33,1997,1,1997-07-18,1997-08-07,21,0.4897,0.4176,0.7946,0.7042
33,1997,2,1997-07-18,1997-08-07,21,0.4102,0.36870000000000003,0.6656,0.6217
33,1997,3,1997-07-18,1997-08-07,21,0.0865,1.0076,0.1404,1.6991
33,1997,4,1997-07-18,1997-08-07,21,0.4679,0.2247,0.7592,0.3789
33,1997,5,1997-07-18,1997-08-07,21,0.5464,0.3367,0.8866,0.5678
33,1997,6,1997-07-18,1997-08-07,21,0.3863,0.2968,0.6268,0.5005
33,1997,7,1997-07-18,1997-08-07,21,0.8423,0.3274,1.3668,0.5521
33,1997,8,1997-07-18,1997-08-07,21,0.5321,0.8188,0.8634,1.3807
33,1997,9,1997-07-18,1997-08-07,21,0.8316,1.0237,1.3494,1.7262
33,1997,10,1997-07-18,1997-08-07,21,0.5494,0.5521,0.8915,0.931
33,1998,1,1998-08-05,1998-08-25,21,1.5641,0.4021,2.538,0.6781
33,1998,2,1998-08-05,1998-08-25,21,1.615,0.0481,2.6206,0.0811
33,1998,3,1998-08-05,1998-08-25,21,3.705,0.2332,6.0119,0.3932
33,1998,4,1998-08-05,1998-08-25,21,0.6713,0.9441,1.0893,1.592
33,1998,5,1998-08-05,1998-08-25,21,1.5352,0.5424,2.4911,0.9146
33,1998,6,1998-08-05,1998-08-25,21,3.0574,0.5802,4.9611,0.9784
33,1998,7,1998-08-05,1998-08-25,21,3.3193,1.4247,5.386,2.4024
33,1998,8,1998-08-05,1998-08-25,21,2.9381,0.0958,4.7675,0.1615
33,1998,9,1998-08-05,1998-08-25,21,0.9553,0.5662,1.5501,0.9548
33,1998,10,1998-08-05,1998-08-25,21,1.3714,0.1437,2.2253,0.2423
33,1998,1,1998-07-15,1998-08-04,21,2.1983,9.2587,3.5671,15.6127
33,1998,2,1998-07-15,1998-08-04,21,2.5378,4.4512,4.1179,7.5059
33,1998,3,1998-07-15,1998-08-04,21,2.2372,6.0755,3.6302,10.245
33,1998,4,1998-07-15,1998-08-04,21,1.4988,0.0666,2.432,0.1123
33,1998,5,1998-07-15,1998-08-04,21,2.5652,1.4826,4.1624,2.5001
33,1998,6,1998-07-15,1998-08-04,21,2.6218,1.7363,4.2542,2.9279
33,1998,7,1998-07-15,1998-08-04,21,1.9548,12.1292,3.1719,20.4532
33,1998,8,1998-07-15,1998-08-04,21,2.2129,1.3105,3.5907,2.2099
33,1998,9,1998-07-15,1998-08-04,21,0.9165,0.5081,1.4872,0.8568
33,1998,10,1998-07-15,1998-08-04,21,1.0934,2.7724,1.7742,4.675
33,1998,1,1998-06-24,1998-07-14,21,0.4171,0.754,0.6768,1.2715
33,1998,2,1998-06-24,1998-07-14,21,0.1728,1.5061,0.2804,2.5397
33,1998,3,1998-06-24,1998-07-14,21,0.5218,0.3995,0.8467,0.6737
33,1998,4,1998-06-24,1998-07-14,21,0.5041,0.1197,0.818,0.2018
33,1998,5,1998-06-24,1998-07-14,21,0.374,0.1282,0.6069,0.2162
33,1998,6,1998-06-24,1998-07-14,21,0.5209,0.1805,0.8452,0.3044
33,1998,7,1998-06-24,1998-07-14,21,0.2742,0.3996,0.4449,0.6738
33,1998,8,1998-06-24,1998-07-14,21,0.5121,0.6311,0.831,1.0642
33,1998,9,1998-06-24,1998-07-14,21,1.4015,0.2673,2.2741,0.4507
33,1998,10,1998-06-24,1998-07-14,21,1.1093,0.0612,1.8,0.1032
33,1998,1,1998-06-04,1998-06-24,21,0.7623,1.2129,1.2369,2.0453
33,1998,2,1998-06-04,1998-06-24,21,0.6848,0.7883,1.1112,1.3293
33,1998,3,1998-06-04,1998-06-24,21,0.5411,0.5814,0.878,0.9804
33,1998,4,1998-06-04,1998-06-24,21,0.6393,0.4686,1.0374,0.7902
33,1998,5,1998-06-04,1998-06-24,21,0.707,0.1825,1.1472,0.3077
33,1998,6,1998-06-04,1998-06-24,21,0.5901,0.5847,0.9575,0.986
33,1998,7,1998-06-04,1998-06-24,21,1.0125,0.3928,1.6429,0.6624
33,1998,8,1998-06-04,1998-06-24,21,0.5106,0.9109,0.8285,1.536
33,1998,9,1998-06-04,1998-06-24,21,0.6081,1.0456,0.9867,1.7632
33,1998,10,1998-06-04,1998-06-24,21,0.6316,0.2682,1.0249,0.4523
33,1998,1,1998-05-14,1998-06-03,21,1.6892,6.7556,2.741,11.3918
33,1998,2,1998-05-14,1998-06-03,21,2.1663,4.4296,3.5151,7.4695
33,1998,3,1998-05-14,1998-06-03,21,1.9264,4.6002,3.1259,7.7572
33,1998,4,1998-05-14,1998-06-03,21,1.4451,2.3034,2.3449,3.8842
33,1998,5,1998-05-14,1998-06-03,21,0.9152,2.4569,1.485,4.143
33,1998,6,1998-05-14,1998-06-03,21,0.5105,5.3987,0.8284,9.1037
33,1998,7,1998-05-14,1998-06-03,21,0.4439,4.3195,0.7203,7.2839
33,1998,8,1998-05-14,1998-06-03,21,0.8922,5.2875,1.4477,8.9162
33,1998,9,1998-05-14,1998-06-03,21,0.6803,3.6332,1.1039,6.1266
33,1998,10,1998-05-14,1998-06-03,21,0.1897,3.5056,0.3078,5.9114
33,1998,1,1998-10-06,1998-10-26,21,37.595,1.1133,61.0032,1.8773
33,1998,2,1998-10-06,1998-10-26,21,23.59,1.1753,38.2781,1.9819
33,1998,3,1998-10-06,1998-10-26,21,21.15,6.7178,34.3189,11.3281
33,1998,4,1998-10-06,1998-10-26,21,17.3063,1.1964,28.0819,2.0175
33,1998,5,1998-10-06,1998-10-26,21,11.57,1.5777,18.774,2.6604
33,1998,6,1998-10-06,1998-10-26,21,9.85,3.2316,15.983,5.4494
33,1998,7,1998-10-06,1998-10-26,21,6.011,0.73,9.7537,1.231
33,1998,8,1998-10-06,1998-10-26,21,11.01,1.9687,17.8653,3.3198
33,1998,9,1998-10-06,1998-10-26,21,13.405,0.4559,21.7515,0.7688
33,1998,10,1998-10-06,1998-10-26,21,15.4081,0.7499,25.0018,1.2645
33,1998,1,1998-09-16,1998-10-06,21,60.62,4.9154,98.3645,8.2887
33,1998,2,1998-09-16,1998-10-06,21,75.1,6.6955,121.8604,11.2905
33,1998,3,1998-09-16,1998-10-06,21,66.02,15.7437,107.1268,26.5482
33,1998,4,1998-09-16,1998-10-06,21,84.52,4.3885,137.1457,7.4002
33,1998,5,1998-09-16,1998-10-06,21,88.2,9.8342,143.117,16.5832
33,1998,6,1998-09-16,1998-10-06,21,89.54,3.5297,145.2913,5.952
33,1998,7,1998-09-16,1998-10-06,21,74.37,3.143,120.6758,5.3
33,1998,8,1998-09-16,1998-10-06,21,65.08,4.0212,105.6015,6.7808
33,1998,9,1998-09-16,1998-10-06,21,105.125,3.6921,170.5802,6.2259
33,1998,10,1998-09-16,1998-10-06,21,60,1.9229,97.3585,3.2425
33,1998,1,1998-08-25,1998-09-14,21,13.2363,0.3063,21.4778,0.5165
33,1998,2,1998-08-25,1998-09-14,21,12.7076,0.4667,20.6199,0.787
33,1998,3,1998-08-25,1998-09-14,21,6.3313,1.3905,10.2734,2.3448
33,1998,4,1998-08-25,1998-09-14,21,10.1606,0.3401,16.487,0.5735
33,1998,5,1998-08-25,1998-09-14,21,11.0131,0.2542,17.8703,0.4287
33,1998,6,1998-08-25,1998-09-14,21,16.2592,0.3453,26.3829,0.5823
33,1998,7,1998-08-25,1998-09-14,21,25.2345,1.0495,40.9465,1.7697
33,1998,8,1998-08-25,1998-09-14,21,18.0598,0.3644,29.3046,0.6145
33,1998,9,1998-08-25,1998-09-14,21,5.1537,0.868,8.3626,1.4637
33,1998,10,1998-08-25,1998-09-14,21,8.2851,0.2811,13.4437,0.474
33,1999,1,1999-10-05,1999-10-25,21,40.6,0.64,65.88,1.08
33,1999,2,1999-10-05,1999-10-25,21,32.54,0.39,52.8,0.66
33,1999,3,1999-10-05,1999-10-25,21,25.74,5.61,41.77,9.46
33,1999,4,1999-10-05,1999-10-25,21,26.92,0.52,43.68,0.87
33,1999,5,1999-10-05,1999-10-25,21,23.68,0.12,38.42,0.19
33,1999,6,1999-10-05,1999-10-25,21,22.96,3.34,37.26,5.63
33,1999,7,1999-10-05,1999-10-25,21,11.35,0.06,18.42,0.1
33,1999,8,1999-10-05,1999-10-25,21,9.18,0.15,14.9,0.25
33,1999,9,1999-10-05,1999-10-25,21,32.57,1.46,52.85,2.47
33,1999,10,1999-10-05,1999-10-25,21,31.26,0.09,50.72,0.16
33,1999,1,1999-07-31,1999-08-20,21,1.08,0.35,1.75,0.59
33,1999,2,1999-07-31,1999-08-20,21,1.16,0.67,1.88,1.14
33,1999,3,1999-07-31,1999-08-20,21,1.05,0.71,1.7,1.2
33,1999,4,1999-07-31,1999-08-20,21,0.92,0.11,1.5,0.18
33,1999,5,1999-07-31,1999-08-20,21,0.71,0.27,1.16,0.46
33,1999,6,1999-07-31,1999-08-20,21,0.78,10.77,1.26,18.16
33,1999,7,1999-07-31,1999-08-20,21,0.92,0.17,1.49,0.29
33,1999,8,1999-07-31,1999-08-20,21,0.19,6.73,0.3,11.34
33,1999,9,1999-07-31,1999-08-20,21,0.64,1.37,1.03,2.32
33,1999,10,1999-07-31,1999-08-20,21,0.61,0.94,0.99,1.58
33,1999,1,1999-07-14,1999-08-03,21,1.91,0.68,3.09,1.15
33,1999,2,1999-07-14,1999-08-03,21,0.81,0.34,1.32,0.58
33,1999,3,1999-07-14,1999-08-03,21,0.5,0.34,0.81,0.58
33,1999,4,1999-07-14,1999-08-03,21,1.08,0.18,1.75,0.3
33,1999,5,1999-07-14,1999-08-03,21,0.93,0.22,1.51,0.36
33,1999,6,1999-07-14,1999-08-03,21,1.03,1.51,1.67,2.54
33,1999,7,1999-07-14,1999-08-03,21,1.52,0.35,2.47,0.58
33,1999,8,1999-07-14,1999-08-03,21,NA,NA,NA,NA
33,1999,9,1999-07-14,1999-08-03,21,0.98,2.46,1.59,4.15
33,1999,10,1999-07-14,1999-08-03,21,0.63,0.39,1.02,0.66
33,1999,1,1999-06-22,1999-07-12,21,1,0.8,1.62,1.34
33,1999,2,1999-06-22,1999-07-12,21,1.31,0.76,2.13,1.28
33,1999,3,1999-06-22,1999-07-12,21,0.85,4.55,1.38,7.67
33,1999,4,1999-06-22,1999-07-12,21,0.63,0.47,1.02,0.79
33,1999,5,1999-06-22,1999-07-12,21,0.36,0.33,0.59,0.55
33,1999,6,1999-06-22,1999-07-12,21,1.02,1.11,1.66,1.87
33,1999,7,1999-06-22,1999-07-12,21,0.85,1.58,1.39,2.66
33,1999,8,1999-06-22,1999-07-12,21,0.68,1.89,1.1,3.19
33,1999,9,1999-06-22,1999-07-12,21,0.91,1.72,1.48,2.9
33,1999,10,1999-06-22,1999-07-12,21,0.33,0.29,0.54,0.5
33,1999,1,1999-06-01,1999-06-21,21,0.55,2.46,0.89,4.14
33,1999,2,1999-06-01,1999-06-21,21,1.03,1.08,1.68,1.83
33,1999,3,1999-06-01,1999-06-21,21,0.56,1.09,0.9,1.84
33,1999,4,1999-06-01,1999-06-21,21,0.65,1.25,1.06,2.11
33,1999,5,1999-06-01,1999-06-21,21,0.22,0.87,0.35,1.48
33,1999,6,1999-06-01,1999-06-21,21,0.93,2.8,1.51,4.72
33,1999,7,1999-06-01,1999-06-21,21,0.81,1.04,1.32,1.76
33,1999,8,1999-06-01,1999-06-21,21,0.12,1.49,0.19,2.52
33,1999,9,1999-06-01,1999-06-21,21,0.16,2.44,0.26,4.11
33,1999,10,1999-06-01,1999-06-21,21,0.18,5.03,0.3,8.48
33,1999,1,1999-05-11,1999-05-31,21,0.08,1.9,0.14,3.21
33,1999,2,1999-05-11,1999-05-31,21,0.25,1.8,0.4,3.04
33,1999,3,1999-05-11,1999-05-31,21,0.51,1.43,0.82,2.42
33,1999,4,1999-05-11,1999-05-31,21,1.47,2.58,2.39,4.35
33,1999,5,1999-05-11,1999-05-31,21,0.91,1.71,1.48,2.88
33,1999,6,1999-05-11,1999-05-31,21,0.6,2.45,0.97,4.14
33,1999,7,1999-05-11,1999-05-31,21,0.47,2.43,0.76,4.1
33,1999,8,1999-05-11,1999-05-31,21,0.36,2.84,0.59,4.79
33,1999,9,1999-05-11,1999-05-31,21,NA,4.96,NA,8.37
33,1999,10,1999-05-11,1999-05-31,21,NA,5.17,NA,8.72
33,1999,1,1999-10-26,1999-11-15,21,19.63,0.38,31.85,0.65
33,1999,2,1999-10-26,1999-11-15,21,14.08,2.32,22.85,3.92
33,1999,3,1999-10-26,1999-11-15,21,3.84,0.3,6.23,0.51
33,1999,4,1999-10-26,1999-11-15,21,2.3,0.69,3.73,1.16
33,1999,5,1999-10-26,1999-11-15,21,7.3,0.42,11.85,0.71
33,1999,6,1999-10-26,1999-11-15,21,3.56,0.03,5.78,0.05
33,1999,7,1999-10-26,1999-11-15,21,16.43,0.19,26.66,0.32
33,1999,8,1999-10-26,1999-11-15,21,19.51,0.01,31.66,0.02
33,1999,9,1999-10-26,1999-11-15,21,9.16,0.37,14.86,0.63
33,1999,10,1999-10-26,1999-11-15,21,19.92,0.37,32.32,0.62
33,1999,1,1999-09-14,1999-10-04,21,59.66,1.66,96.81,2.79
33,1999,2,1999-09-14,1999-10-04,21,51.71,1.19,83.91,2
33,1999,3,1999-09-14,1999-10-04,21,69.47,1.82,112.72,3.07
33,1999,4,1999-09-14,1999-10-04,21,70.53,1.37,114.44,2.3
33,1999,5,1999-09-14,1999-10-04,21,77.06,2.4,125.04,4.04
33,1999,6,1999-09-14,1999-10-04,21,1.99,2.3,3.23,3.88
33,1999,7,1999-09-14,1999-10-04,21,63.71,1.58,103.38,2.66
33,1999,8,1999-09-14,1999-10-04,21,57.79,17.49,93.78,29.49
33,1999,9,1999-09-14,1999-10-04,21,67.36,6.06,109.3,10.22
33,1999,10,1999-09-14,1999-10-04,21,58.65,3.11,95.17,5.25
33,1999,1,1999-08-24,1999-09-13,21,17.67,0.78,28.67,1.31
33,1999,2,1999-08-24,1999-09-13,21,10.51,0.28,17.05,0.48
33,1999,3,1999-08-24,1999-09-13,21,10.73,0.53,17.41,0.89
33,1999,4,1999-08-24,1999-09-13,21,7.14,2.08,11.59,3.51
33,1999,5,1999-08-24,1999-09-13,21,7.3,0.06,11.85,0.11
33,1999,6,1999-08-24,1999-09-13,21,12.76,1.68,20.7,2.83
33,1999,7,1999-08-24,1999-09-13,21,21.43,0.16,34.77,0.27
33,1999,8,1999-08-24,1999-09-13,21,14.44,1.47,23.43,2.48
33,1999,9,1999-08-24,1999-09-13,21,4.72,1.54,7.66,2.6
33,1999,10,1999-08-24,1999-09-13,21,4.58,NA,7.43,NA
33,2000,1,2000-07-29,2000-08-18,21,1.54,0.13,2.5,0.22
33,2000,2,2000-07-29,2000-08-18,21,1.75,0.12,2.84,0.2
33,2000,3,2000-07-29,2000-08-18,21,1.55,1.05,2.52,1.77
33,2000,4,2000-07-29,2000-08-18,21,1.07,0.04,1.74,0.07
33,2000,5,2000-07-29,2000-08-18,21,1.5,0.02,2.43,0.03
33,2000,6,2000-07-29,2000-08-18,21,7.02,NA,11.39,NA
33,2000,7,2000-07-29,2000-08-18,21,5.83,NA,9.46,NA
33,2000,8,2000-07-29,2000-08-18,21,1.95,0.42,3.16,0.71
33,2000,9,2000-07-29,2000-08-18,21,0.2,2.02,0.32,3.41
33,2000,10,2000-07-29,2000-08-18,21,1.01,0.12,1.64,0.2
33,2000,1,2000-07-11,2000-07-31,21,1.77,0.45,2.87,0.76
33,2000,2,2000-07-11,2000-07-31,21,1.35,0.73,2.19,1.23
33,2000,3,2000-07-11,2000-07-31,21,0.94,1.38,1.53,2.33
33,2000,4,2000-07-11,2000-07-31,21,0.77,0.01,1.25,0.02
33,2000,5,2000-07-11,2000-07-31,21,1.14,0.83,1.85,1.4
33,2000,6,2000-07-11,2000-07-31,21,3.53,0.66,5.73,1.11
33,2000,7,2000-07-11,2000-07-31,21,2.61,1.87,4.24,3.15
33,2000,8,2000-07-11,2000-07-31,21,1.11,0.39,1.8,0.66
33,2000,9,2000-07-11,2000-07-31,21,0.57,4.85,0.92,8.18
33,2000,10,2000-07-11,2000-07-31,21,0.75,0.28,1.22,0.47
33,2000,1,2000-06-26,2000-07-16,21,0.7,1.77,1.14,2.98
33,2000,2,2000-06-26,2000-07-16,21,0.36,2.16,0.58,3.64
33,2000,3,2000-06-26,2000-07-16,21,0.67,1.14,1.09,1.92
33,2000,4,2000-06-26,2000-07-16,21,0.87,0.72,1.41,1.21
33,2000,5,2000-06-26,2000-07-16,21,1.02,0.12,1.66,0.2
33,2000,6,2000-06-26,2000-07-16,21,0.34,4.2,0.55,7.08
33,2000,7,2000-06-26,2000-07-16,21,0.26,8.39,0.42,14.15
