kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,tribe,query_tsn_ITIS,ID,level,count,count_percentoftotal
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Hydropsychoidea,Hydropsychidae,Hydropsychinae,Cheumatopsyche,NA,115408,Cheumatopsyche,genus,104.99999999999999,0.02743340866634443
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,NA,NA,NA,127917,Chironomidae,family,146640,38.312714731740456
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Systellognatha,NA,NA,Chloroperlidae,NA,NA,NA,103202,Chloroperlidae,family,8234,2.1513017805588577
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Systellognatha,NA,NA,Chloroperlidae,Chloroperlinae,NA,NA,609855,Chloroperlinae,subfamily,9542,2.4930436713738913
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Empididae,Clinocerinae,Clinocera,NA,135849,Clinocera,genus,38,0.009928281231629414
Animalia,Bilateria,Protostomia,Lophozoa,Annelida,NA,Clitellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568832,Clitellata,class,520,0.13586069053808672
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Collembola,NA,NA,NA,Collembola,NA,NA,NA,NA,NA,NA,NA,99237,Collembola,order,12,0.003135246704725078
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Culicidae,NA,NA,NA,125930,Culicidae,family,4,0.0010450822349083594
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,Limoniinae,Dicranota,Pediciini,121027,Dicranota,genus,9704,2.53536950188768
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,NA,NA,NA,NA,NA,NA,NA,118831,Diptera,order,2937,0.7673516309814629
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Systellognatha,NA,NA,Perlodidae,Perlodinae,Diura,Perlodini,103094,Diura,genus,62,0.01619877464107957
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Dixidae,NA,Dixa,NA,125810,Dixa,genus,71,0.01855020966962338
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Dixidae,NA,NA,NA,125809,Dixidae,family,215,0.056173170126324314
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Dolichopodidae,NA,NA,NA,136824,Dolichopodidae,family,2,5.225411174541797e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Philopotamoidea,Philopotamidae,Philopotaminae,Dolophilodes,NA,115319,Dolophilodes,genus,7313.999999999999,1.9109328665299348
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Adephaga,NA,NA,Dytiscidae,NA,NA,NA,111963,Dytiscidae,family,4,0.0010450822349083594
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,NA,NA,NA,114093,Elmidae,family,2,5.225411174541797e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Empididae,NA,NA,NA,135830,Empididae,family,1,2.6127055872708985e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,Heptagenioidea,Heptageniidae,NA,Epeorus,NA,100626,Epeorus,genus,64,0.01672131575853375
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Furcatergalia,Pannota,Ephemerelloidea,Ephemerellidae,NA,Ephemerella,NA,101233,Ephemerella,genus,41,0.010712092907810684
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Furcatergalia,Pannota,Ephemerelloidea,Ephemerellidae,NA,NA,NA,101232,Ephemerellidae,family,2,5.225411174541797e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Odonata,Anisoptera,NA,NA,Corduliidae,Corduliinae,Epitheca,NA,102035,Epitheca,genus,1,2.6127055872708985e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Furcatergalia,Pannota,Ephemerelloidea,Ephemerellidae,NA,Eurylophella,NA,101324,Eurylophella,genus,426.99999999999994,0.11156252857646735
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Glossosomatoidea,Glossosomatidae,Glossosomatinae,Glossosoma,Glossosomatini,117159,Glossosoma,genus,358,0.09353486002429816
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Odonata,Anisoptera,NA,NA,Gomphidae,NA,NA,NA,101664,Gomphidae,family,6,0.001567623352362539
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Furcatergalia,Lanceolata,NA,Leptophlebiidae,NA,Habrophlebia,NA,101183,Habrophlebia,genus,11.000000000000002,0.0028739761459979887
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Systellognatha,NA,NA,Chloroperlidae,Chloroperlinae,Haploperla,NA,103260,Haploperla,genus,525,0.13716704333172217
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,Heptagenioidea,Heptageniidae,NA,Heptagenia,NA,100602,Heptagenia,genus,3,7.838116761812695e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,Heptagenioidea,Heptageniidae,NA,NA,NA,100504,Heptageniidae,family,29,0.007576846203085605
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Limnephiloidea,Limnephilidae,Limnephilinae,Hesperophylax,Limnephilini,116001,Hesperophylax,genus,196,0.0512090295105096
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,NA,Baetidae,NA,Heterocloeon,NA,100794,Heterocloeon,genus,13907,3.6334896602176383
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,Limoniinae,Hexatoma,Hexatomini,120094,Hexatoma,genus,200.99999999999997,0.052515382304145056
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,Tipulinae,Holorusia,NA,118890,Holorusia,genus,10.999999999999998,0.002873976145997988
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Limnephiloidea,Limnephilidae,Limnephilinae,Hydatophylax,Stenophylacini,115995,Hydatophylax,genus,63,0.01646004519980666
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Coleoptera,Polyphaga,Staphyliniformia,Hydrophiloidea,Hydrophilidae,NA,NA,NA,112811,Hydrophilidae,family,1,2.6127055872708985e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Hydropsychoidea,Hydropsychidae,Hydropsychinae,Hydropsyche,NA,115453,Hydropsyche,genus,417,0.10894982298919646
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Hydropsychoidea,Hydropsychidae,NA,NA,NA,115398,Hydropsychidae,family,87,0.022730538609256813
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Hydroptiloidea,Hydroptilidae,Hydroptilinae,Hydroptila,Hydroptilini,115641,Hydroptila,genus,3,7.838116761812695e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Systellognatha,NA,NA,Perlodidae,Perlodinae,Isogenoides,Perlodini,103124,Isogenoides,genus,202,0.05277665286287215
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Systellognatha,NA,NA,Perlodidae,Isoperlinae,Isoperla,NA,102995,Isoperla,genus,53,0.013847339612535762
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Limnephiloidea,Lepidostomatidae,Lepidostomatinae,Lepidostoma,NA,116794,Lepidostoma,genus,7615,1.989575304706789
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Leptoceroidea,Leptoceridae,NA,NA,NA,116547,Leptoceridae,family,17,0.004441599498360527
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Furcatergalia,Lanceolata,NA,Leptophlebiidae,NA,Leptophlebia,NA,101148,Leptophlebia,genus,12,0.003135246704725078
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Furcatergalia,Lanceolata,NA,Leptophlebiidae,NA,NA,NA,101095,Leptophlebiidae,family,83.99999999999999,0.02194672693307554
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Euholognatha,NA,NA,Leuctridae,Leuctrinae,Leuctra,NA,102844,Leuctra,genus,22812,5.960103985682373
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Limnephiloidea,Limnephilidae,NA,NA,NA,115933,Limnephilidae,family,150,0.03919058380906348
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilus,Limnephilini,116069,Limnephilus,genus,57,0.014892421847444121
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,Limoniinae,Limnophila,Hexatomini,120164,Limnophila,genus,46,0.012018445701446133
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Hydropsychoidea,Psychomyiidae,Psychomyiinae,Lype,NA,115391,Lype,genus,1,2.6127055872708985e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,Limoniinae,Molophilus,Eriopterini,120758,Molophilus,genus,718,0.1875922611660505
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,Natarsia,Natarsiini,128070,Natarsia,genus,1400,0.3657787822179258
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Euholognatha,NA,NA,Nemouridae,Nemourinae,Nemoura,NA,102526,Nemoura,genus,6740.999999999999,1.7612248363793124
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Limnephiloidea,Uenoidae,Thremmatinae,Neophylax,NA,116046,Neophylax,genus,281,0.07341702700231224
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Odonata,Anisoptera,NA,NA,Corduliidae,Corduliinae,Neurocordulia,NA,101934,Neurocordulia,genus,6,0.001567623352362539
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Odonata,NA,NA,NA,NA,NA,NA,NA,101593,Odonata,order,6,0.001567623352362539
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Limnephiloidea,Limnephilidae,Dicosmoecinae,Onocosmoecus,NA,116315,Onocosmoecus,genus,121,0.031613737605977875
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Muscomorpha,NA,Empididae,Oreogetoninae,Oreogeton,NA,136377,Oreogeton,genus,1261,0.3294621745548603
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,Limoniinae,Ormosia,Eriopterini,120830,Ormosia,genus,10.999999999999998,0.002873976145997988
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Hydroptiloidea,Hydroptilidae,Hydroptilinae,Oxyethira,Hydroptilini,115779,Oxyethira,genus,10.999999999999998,0.002873976145997988
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Euholognatha,NA,NA,Capniidae,NA,Paracapnia,NA,102804,Paracapnia,genus,1084,0.28321728566016535
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Furcatergalia,Lanceolata,NA,Leptophlebiidae,NA,Paraleptophlebia,NA,101187,Paraleptophlebia,genus,204.99999999999997,0.05356046453905341
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Hydropsychoidea,Hydropsychidae,Arctopsychinae,Parapsyche,NA,115556,Parapsyche,genus,9189,2.4008151641432285
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,Limoniinae,Pedicia,Pediciini,121118,Pedicia,genus,868.9999999999999,0.22704411553384102
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,NA,NA,NA,NA,NA,NA,NA,102467,Plecoptera,order,483,0.12619367986518437
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Hydropsychoidea,Polycentropodidae,Polycentropodinae,Polycentropus,NA,117044,Polycentropus,genus,204,0.05329919398032632
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Simuliidae,Simuliinae,Prosimulium,Prosimuliini,126703,Prosimulium,genus,18619,4.864596532939686
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,Limoniinae,Pseudolimnophila,Hexatomini,120365,Pseudolimnophila,genus,6,0.001567623352362539
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Limnephiloidea,Limnephilidae,Pseudostenophylacinae,Pseudostenophylax,NA,115989,Pseudostenophylax,genus,150,0.03919058380906348
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Limnephiloidea,Limnephilidae,Limnephilinae,Psychoglypha,Chilostigmini,115974,Psychoglypha,genus,23,0.0060092228507230665
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Limnephiloidea,Limnephilidae,Limnephilinae,Pycnopsyche,Stenophylacini,116409,Pycnopsyche,genus,16,0.0041803289396334375
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,Heptagenioidea,Heptageniidae,NA,Rhithrogena,NA,100572,Rhithrogena,genus,31,0.008099387320539785
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,Rhyacophiloidea,Rhyacophilidae,NA,Rhyacophila,NA,115097,Rhyacophila,genus,1202,0.31404721158996196
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Furcatergalia,Pannota,Ephemerelloidea,Ephemerellidae,NA,Serratella,NA,101395,Serratella,genus,14,0.0036577878221792574
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Simuliidae,Simuliinae,Simulium,Simuliini,126774,Simulium,genus,1112,0.29053286130452394
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,Heptagenioidea,Heptageniidae,NA,Stenacron,NA,100713,Stenacron,genus,1,2.6127055872708985e-4
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,NA,Ephemeroptera,Pisciforma,NA,Heptagenioidea,Heptageniidae,NA,Stenonema,NA,100507,Stenonema,genus,9,0.0023514350285438086
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Tabanomorpha,NA,Tabanidae,NA,NA,NA,130934,Tabanidae,family,79,0.020640374139440098
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Polyneoptera,Plecoptera,Euholognatha,NA,NA,Taeniopterygidae,Taeniopteryginae,Taeniopteryx,NA,102789,Taeniopteryx,genus,21.999999999999996,0.005747952291995976
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Tanypodinae,NA,NA,127994,Tanypodinae,subfamily,8436,2.20407843342173
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Culicomorpha,NA,Chironomidae,Chironominae,NA,Tanytarsini,129872,Tanytarsini,tribe,67412,17.61277090491058
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,Tipulinae,Tipula,NA,119037,Tipula,genus,87.99999999999999,0.022991809167983903
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Nematocera,Tipulomorpha,NA,Tipulidae,NA,NA,NA,118840,Tipulidae,family,14,0.0036577878221792574
Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,NA,NA,NA,NA,NA,NA,NA,115095,Trichoptera,order,309,0.08073260264667076
