"year","species","treatment","replicate","abundance"
1995,"Ceratopogonidae","low",6,10
1995,"Ceratopogonidae","low",7,2
1995,"Ceratopogonidae","low",8,2
1995,"Ceratopogonidae","low",9,10
1995,"Ceratopogonidae","low",10,0
1995,"Ceratopogonidae","medium",1,35
1995,"Ceratopogonidae","medium",2,10
1995,"Ceratopogonidae","medium",3,16
1995,"Ceratopogonidae","medium",4,17
1995,"Ceratopogonidae","medium",5,24
1995,"Ceratopogonidae","medium",6,29
1995,"Ceratopogonidae","medium",7,27
1995,"Ceratopogonidae","medium",8,13
1995,"Ceratopogonidae","medium",9,15
1995,"Ceratopogonidae","medium",10,19
1995,"Chelifera","control",1,0
1995,"Chelifera","control",2,8
1995,"Chelifera","control",3,0
1995,"Chelifera","control",4,7
1995,"Chelifera","control",5,2
1995,"Chelifera","control",6,2
1995,"Chelifera","control",7,2
1995,"Chelifera","control",8,7
1995,"Chelifera","control",9,7
1995,"Chelifera","control",10,3
1995,"Chelifera","high",1,0
1995,"Chelifera","high",2,1
1995,"Chelifera","high",3,0
1995,"Chelifera","high",4,2
1995,"Chelifera","high",5,2
1995,"Chelifera","high",6,2
1995,"Chelifera","high",7,1
1995,"Chelifera","high",8,0
1995,"Chelifera","high",9,1
1995,"Chelifera","high",10,2
1995,"Chelifera","low",1,5
1995,"Chelifera","low",2,5
1995,"Chelifera","low",3,1
1995,"Chelifera","low",4,0
1995,"Chelifera","low",5,2
1995,"Chelifera","low",6,4
1995,"Chelifera","low",7,0
1995,"Chelifera","low",8,2
1995,"Chelifera","low",9,3
1995,"Chelifera","low",10,0
1995,"Chelifera","medium",1,3
1995,"Chelifera","medium",2,4
1995,"Chelifera","medium",3,1
1995,"Chelifera","medium",4,0
1995,"Chelifera","medium",5,0
1995,"Chelifera","medium",6,0
1995,"Chelifera","medium",7,2
1995,"Chelifera","medium",8,2
1995,"Chelifera","medium",9,1
1995,"Chelifera","medium",10,2
1995,"Chironomidae","control",1,113
1995,"Chironomidae","control",2,57
1995,"Chironomidae","control",3,176
1995,"Chironomidae","control",4,140
1995,"Chironomidae","control",5,350
1995,"Chironomidae","control",6,98
1995,"Chironomidae","control",7,238
1995,"Chironomidae","control",8,115
1995,"Chironomidae","control",9,125
1995,"Chironomidae","control",10,89
1995,"Chironomidae","high",1,56
1995,"Chironomidae","high",2,52
1995,"Chironomidae","high",3,110
1995,"Chironomidae","high",4,102
1995,"Chironomidae","high",5,471
1995,"Chironomidae","high",6,267
1995,"Chironomidae","high",7,174
1995,"Chironomidae","high",8,122
1995,"Chironomidae","high",9,189
1995,"Chironomidae","high",10,183
1995,"Chironomidae","low",1,359
1995,"Chironomidae","low",2,152
1995,"Chironomidae","low",3,294
1995,"Chironomidae","low",4,257
1995,"Chironomidae","low",5,422
1995,"Chironomidae","low",6,274
1995,"Chironomidae","low",7,177
1995,"Chironomidae","low",8,190
1995,"Chironomidae","low",9,310
1995,"Chironomidae","low",10,92
1995,"Chironomidae","medium",1,531
1995,"Chironomidae","medium",2,541
1995,"Chironomidae","medium",3,255
1995,"Chironomidae","medium",4,440
1995,"Chironomidae","medium",5,362
1995,"Chironomidae","medium",6,262
1995,"Chironomidae","medium",7,272
1995,"Chironomidae","medium",8,250
1995,"Chironomidae","medium",9,230
1995,"Chironomidae","medium",10,443
1995,"Chloroperlidae","control",1,13
1995,"Chloroperlidae","control",2,20
1995,"Chloroperlidae","control",3,15
1995,"Chloroperlidae","control",4,16
1995,"Chloroperlidae","control",5,24
1995,"Chloroperlidae","control",6,16
1995,"Chloroperlidae","control",7,8
1995,"Chloroperlidae","control",8,26
1995,"Chloroperlidae","control",9,42
1995,"Chloroperlidae","control",10,5
1995,"Chloroperlidae","high",1,11
1995,"Chloroperlidae","high",2,9
1995,"Chloroperlidae","high",3,17
1995,"Chloroperlidae","high",4,7
1995,"Chloroperlidae","high",5,27
1995,"Chloroperlidae","high",6,23
1995,"Chloroperlidae","high",7,17
1995,"Chloroperlidae","high",8,8
1995,"Chloroperlidae","high",9,14
1995,"Chloroperlidae","high",10,18
1995,"Chloroperlidae","low",1,10
1995,"Chloroperlidae","low",2,3
1995,"Chloroperlidae","low",3,18
1995,"Chloroperlidae","low",4,8
1995,"Chloroperlidae","low",5,9
1995,"Chloroperlidae","low",6,0
1995,"Chloroperlidae","low",7,9
1995,"Chloroperlidae","low",8,0
1995,"Chloroperlidae","low",9,28
1995,"Chloroperlidae","low",10,6
1995,"Chloroperlidae","medium",1,27
1995,"Chloroperlidae","medium",2,82
1995,"Chloroperlidae","medium",3,36
1995,"Chloroperlidae","medium",4,21
1995,"Chloroperlidae","medium",5,92
1995,"Chloroperlidae","medium",6,50
1995,"Chloroperlidae","medium",7,38
1995,"Chloroperlidae","medium",8,48
1995,"Chloroperlidae","medium",9,46
1995,"Chloroperlidae","medium",10,68
1995,"Dicranota","control",1,14
1995,"Dicranota","control",2,10
1995,"Dicranota","control",3,15
1995,"Dicranota","control",4,9
1995,"Dicranota","control",5,8
1995,"Dicranota","control",6,7
1995,"Dicranota","control",7,13
1995,"Dicranota","control",8,8
1995,"Dicranota","control",9,13
1995,"Dicranota","control",10,10
1995,"Dicranota","high",1,13
1995,"Dicranota","high",2,15
1995,"Dicranota","high",3,20
1995,"Dicranota","high",4,17
1995,"Dicranota","high",5,30
1995,"Dicranota","high",6,30
1995,"Dicranota","high",7,10
1995,"Dicranota","high",8,4
1995,"Dicranota","high",9,14
1995,"Dicranota","high",10,21
1995,"Dicranota","low",1,4
1995,"Dicranota","low",2,7
1995,"Dicranota","low",3,6
1995,"Dicranota","low",4,2
1995,"Dicranota","low",5,8
1995,"Dicranota","low",6,11
1995,"Dicranota","low",7,6
1995,"Dicranota","low",8,0
1995,"Dicranota","low",9,8
1995,"Dicranota","low",10,0
1995,"Dicranota","medium",1,13
1995,"Dicranota","medium",2,36
1995,"Dicranota","medium",3,14
1995,"Dicranota","medium",4,20
1995,"Dicranota","medium",5,17
1995,"Dicranota","medium",6,17
1995,"Dicranota","medium",7,9
1995,"Dicranota","medium",8,14
1995,"Dicranota","medium",9,6
1995,"Dicranota","medium",10,3
1995,"Diptera","control",1,4
1995,"Diptera","control",2,3
1995,"Diptera","control",3,13
1995,"Diptera","control",4,7
1995,"Diptera","control",5,7
1995,"Diptera","control",6,2
1995,"Diptera","control",7,4
1995,"Diptera","control",8,4
1995,"Diptera","control",9,13
1995,"Diptera","control",10,8
1995,"Diptera","high",1,1
1995,"Diptera","high",2,7
1995,"Diptera","high",3,6
1995,"Diptera","high",4,1
1995,"Diptera","high",5,14
1995,"Diptera","high",6,6
1995,"Diptera","high",7,4
1995,"Diptera","high",8,9
1995,"Diptera","high",9,4
1995,"Diptera","high",10,3
1995,"Diptera","low",1,14
1995,"Diptera","low",2,5
1995,"Diptera","low",3,9
1995,"Diptera","low",4,3
1995,"Diptera","low",5,12
1995,"Diptera","low",6,8
1995,"Diptera","low",7,15
1995,"Diptera","low",8,5
1995,"Diptera","low",9,3
1995,"Diptera","low",10,2
1995,"Diptera","medium",1,14
1995,"Diptera","medium",2,11
1995,"Diptera","medium",3,3
1995,"Diptera","medium",4,3
1995,"Diptera","medium",5,23
1995,"Diptera","medium",6,12
1995,"Diptera","medium",7,12
1995,"Diptera","medium",8,401
1995,"Diptera","medium",9,10
1995,"Diptera","medium",10,19
1995,"Dixa","control",1,1
1995,"Dixa","control",2,1
1995,"Dixa","control",3,2
1995,"Dixa","control",4,0
1995,"Dixa","control",5,0
1995,"Dixa","control",6,0
1995,"Dixa","control",7,0
1995,"Dixa","control",8,0
1995,"Dixa","control",9,0
1995,"Dixa","control",10,1
1995,"Dixa","high",1,0
1995,"Dixa","high",2,0
1995,"Dixa","high",3,1
1995,"Dixa","high",4,3
1995,"Dixa","high",5,0
1995,"Dixa","high",6,1
1995,"Dixa","high",7,1
1995,"Dixa","high",8,2
1995,"Dixa","high",9,2
1995,"Dixa","high",10,1
1995,"Dixa","low",1,0
1995,"Dixa","low",2,1
1995,"Dixa","low",3,0
1995,"Dixa","low",4,0
1995,"Dixa","low",5,1
1995,"Dixa","low",6,1
1995,"Dixa","low",7,3
1995,"Dixa","low",8,1
1995,"Dixa","low",9,0
1995,"Dixa","low",10,0
1995,"Dixa","medium",1,0
1995,"Dixa","medium",2,0
1995,"Dixa","medium",3,0
1995,"Dixa","medium",4,1
1995,"Dixa","medium",5,1
1995,"Dixa","medium",6,0
1995,"Dixa","medium",7,0
1995,"Dixa","medium",8,0
1995,"Dixa","medium",9,0
1995,"Dixa","medium",10,2
1995,"Dolophilodes","control",1,19
1995,"Dolophilodes","control",2,0
1995,"Dolophilodes","control",3,93
1995,"Dolophilodes","control",4,18
1995,"Dolophilodes","control",5,7
1995,"Dolophilodes","control",6,0
1995,"Dolophilodes","control",7,16
1995,"Dolophilodes","control",8,1
1995,"Dolophilodes","control",9,53
1995,"Dolophilodes","control",10,4
1995,"Dolophilodes","high",1,18
1995,"Dolophilodes","high",2,0
1995,"Dolophilodes","high",3,18
1995,"Dolophilodes","high",4,7
1995,"Dolophilodes","high",5,54
1995,"Dolophilodes","high",6,12
1995,"Dolophilodes","high",7,30
1995,"Dolophilodes","high",8,33
1995,"Dolophilodes","high",9,3
1995,"Dolophilodes","high",10,11
1995,"Dolophilodes","medium",1,6
1995,"Dolophilodes","medium",2,88
1995,"Dolophilodes","medium",3,2
1995,"Dolophilodes","medium",4,9
1995,"Dolophilodes","medium",5,56
1995,"Dolophilodes","medium",6,38
1995,"Dolophilodes","medium",7,42
1995,"Dolophilodes","medium",8,27
1995,"Dolophilodes","medium",9,2
1995,"Dolophilodes","medium",10,0
1995,"Empididae","low",1,1
1995,"Empididae","low",2,0
1995,"Empididae","low",3,0
1995,"Empididae","low",4,0
1995,"Empididae","low",5,0
1995,"Empididae","low",6,0
1995,"Empididae","low",7,0
1995,"Empididae","low",8,0
1995,"Empididae","low",9,0
1995,"Empididae","low",10,0
1995,"Eurylophella","control",1,0
1995,"Eurylophella","control",2,1
1995,"Eurylophella","control",3,0
1995,"Eurylophella","control",4,0
1995,"Eurylophella","control",5,0
1995,"Eurylophella","control",6,0
1995,"Eurylophella","control",7,0
1995,"Eurylophella","control",8,0
1995,"Eurylophella","control",9,0
1995,"Eurylophella","control",10,0
1995,"Eurylophella","high",1,0
1995,"Eurylophella","high",2,0
1995,"Eurylophella","high",3,0
1995,"Eurylophella","high",4,0
1995,"Eurylophella","high",5,0
1995,"Eurylophella","high",6,1
1995,"Eurylophella","high",7,0
1995,"Eurylophella","high",8,0
1995,"Eurylophella","high",9,1
1995,"Eurylophella","high",10,0
1995,"Eurylophella","low",1,1
1995,"Eurylophella","low",2,0
1995,"Eurylophella","low",3,8
1995,"Eurylophella","low",4,1
1995,"Eurylophella","low",5,2
1995,"Eurylophella","low",6,2
1995,"Eurylophella","low",7,1
1995,"Eurylophella","low",8,1
1995,"Eurylophella","low",9,1
1995,"Eurylophella","low",10,0
1995,"Eurylophella","medium",1,0
1995,"Eurylophella","medium",2,0
1995,"Eurylophella","medium",3,0
1995,"Eurylophella","medium",4,0
1995,"Eurylophella","medium",5,0
1995,"Eurylophella","medium",6,0
1995,"Eurylophella","medium",7,0
1995,"Eurylophella","medium",8,0
1995,"Eurylophella","medium",9,0
1995,"Eurylophella","medium",10,0
1995,"Glossosoma","control",1,0
1995,"Glossosoma","control",2,0
1995,"Glossosoma","control",3,0
1995,"Glossosoma","control",4,0
1995,"Glossosoma","control",5,0
1995,"Glossosoma","control",6,0
1995,"Glossosoma","control",7,0
1995,"Glossosoma","control",8,0
1995,"Glossosoma","control",9,0
1995,"Glossosoma","control",10,0
1995,"Glossosoma","high",1,0
1995,"Glossosoma","high",2,0
1995,"Glossosoma","high",3,0
1995,"Glossosoma","high",4,0
1995,"Glossosoma","high",5,0
1995,"Glossosoma","high",6,0
1995,"Glossosoma","high",7,0
1995,"Glossosoma","high",8,0
1995,"Glossosoma","high",9,0
1995,"Glossosoma","high",10,0
1995,"Glossosoma","low",1,0
1995,"Glossosoma","low",2,0
1995,"Glossosoma","low",3,0
1995,"Glossosoma","low",4,0
1995,"Glossosoma","low",5,1
1995,"Glossosoma","low",6,0
1995,"Glossosoma","low",7,0
1995,"Glossosoma","low",8,1
1995,"Glossosoma","low",9,0
1995,"Glossosoma","low",10,0
1995,"Glossosoma","medium",1,0
1995,"Glossosoma","medium",2,0
1995,"Glossosoma","medium",3,0
1995,"Glossosoma","medium",4,0
1995,"Glossosoma","medium",5,0
1995,"Glossosoma","medium",6,0
1995,"Glossosoma","medium",7,0
1995,"Glossosoma","medium",8,0
1995,"Glossosoma","medium",9,1
1995,"Glossosoma","medium",10,0
1995,"Heptagenia","medium",1,0
1995,"Heptagenia","medium",2,0
1995,"Heptagenia","medium",3,0
1995,"Heptagenia","medium",4,0
1995,"Heptagenia","medium",5,0
1995,"Heptagenia","medium",6,0
1995,"Heptagenia","medium",7,0
1995,"Heptagenia","medium",8,0
1995,"Heptagenia","medium",9,0
1995,"Heptagenia","medium",10,0
1995,"Heptageniidae","control",1,0
1995,"Heptageniidae","control",2,0
1995,"Heptageniidae","control",3,0
1995,"Heptageniidae","control",4,0
1995,"Heptageniidae","control",5,0
1995,"Heptageniidae","control",6,0
1995,"Heptageniidae","control",7,0
1995,"Heptageniidae","control",8,0
1995,"Heptageniidae","control",9,0
1995,"Heptageniidae","control",10,0
1995,"Heptageniidae","high",1,0
1995,"Heptageniidae","high",2,0
1995,"Heptageniidae","high",3,0
1995,"Heptageniidae","high",4,0
1995,"Heptageniidae","high",5,0
1995,"Heptageniidae","high",6,0
1995,"Heptageniidae","high",7,0
1995,"Heptageniidae","high",8,0
1995,"Heptageniidae","high",9,0
1995,"Heptageniidae","high",10,0
1995,"Hesperophylax","control",1,0
1995,"Hesperophylax","control",2,1
1995,"Hesperophylax","control",3,0
1995,"Hesperophylax","control",4,0
1995,"Hesperophylax","control",5,0
1995,"Hesperophylax","control",6,0
1995,"Hesperophylax","control",7,0
1995,"Hesperophylax","control",8,0
1995,"Hesperophylax","control",9,0
1995,"Hesperophylax","control",10,0
1995,"Hesperophylax","high",1,0
1995,"Hesperophylax","high",2,0
1995,"Hesperophylax","high",3,0
1995,"Hesperophylax","high",4,0
1995,"Hesperophylax","high",5,0
1995,"Hesperophylax","high",6,0
1995,"Hesperophylax","high",7,0
1995,"Hesperophylax","high",8,0
1995,"Hesperophylax","high",9,0
1995,"Hesperophylax","high",10,0
1995,"Hesperophylax","medium",1,0
1995,"Hesperophylax","medium",2,0
1995,"Hesperophylax","medium",3,0
1995,"Hesperophylax","medium",4,1
1995,"Hesperophylax","medium",5,0
1995,"Hesperophylax","medium",6,0
1995,"Hesperophylax","medium",7,1
1995,"Hesperophylax","medium",8,2
1995,"Hesperophylax","medium",9,1
1995,"Hesperophylax","medium",10,0
1995,"Heterocloeon","control",1,14
1995,"Heterocloeon","control",2,8
1995,"Heterocloeon","control",3,22
1995,"Heterocloeon","control",4,23
1995,"Heterocloeon","control",5,16
1995,"Heterocloeon","control",6,7
1995,"Heterocloeon","control",7,8
1995,"Heterocloeon","control",8,3
1995,"Heterocloeon","control",9,33
1995,"Heterocloeon","control",10,12
1995,"Heterocloeon","high",1,4
1995,"Heterocloeon","high",2,23
1995,"Heterocloeon","high",3,6
1995,"Heterocloeon","high",4,13
1995,"Heterocloeon","high",5,22
1995,"Heterocloeon","high",6,8
1995,"Heterocloeon","high",7,50
1995,"Heterocloeon","high",8,18
1995,"Heterocloeon","high",9,3
1995,"Heterocloeon","high",10,20
1995,"Heterocloeon","medium",1,28
1995,"Heterocloeon","medium",2,67
1995,"Heterocloeon","medium",3,7
1995,"Heterocloeon","medium",4,15
1995,"Heterocloeon","medium",5,56
1995,"Heterocloeon","medium",6,52
1995,"Heterocloeon","medium",7,58
1995,"Heterocloeon","medium",8,31
1995,"Heterocloeon","medium",9,35
1995,"Heterocloeon","medium",10,38
1995,"Hydatophylax","high",1,0
1995,"Hydatophylax","high",2,0
1995,"Hydatophylax","high",3,0
1995,"Hydatophylax","high",4,0
1995,"Hydatophylax","high",5,0
1995,"Hydatophylax","high",6,1
1995,"Hydatophylax","high",7,0
1995,"Hydatophylax","high",8,0
1995,"Hydatophylax","high",9,1
1995,"Hydatophylax","high",10,0
1995,"Hydatophylax","medium",1,0
1995,"Hydatophylax","medium",2,0
1995,"Hydatophylax","medium",3,0
1995,"Hydatophylax","medium",4,0
1995,"Hydatophylax","medium",5,1
1995,"Hydatophylax","medium",6,0
1995,"Hydatophylax","medium",7,0
1995,"Hydatophylax","medium",8,0
1995,"Hydatophylax","medium",9,0
1995,"Hydatophylax","medium",10,0
1995,"Hydropsyche","control",1,0
1995,"Hydropsyche","control",2,0
1995,"Hydropsyche","control",3,1
1995,"Hydropsyche","control",4,0
1995,"Hydropsyche","control",5,0
1995,"Hydropsyche","control",6,0
1995,"Hydropsyche","control",7,0
1995,"Hydropsyche","control",8,0
1995,"Hydropsyche","control",9,0
1995,"Hydropsyche","control",10,0
1995,"Hydropsyche","high",1,0
1995,"Hydropsyche","high",2,0
1995,"Hydropsyche","high",3,0
1995,"Hydropsyche","high",4,0
1995,"Hydropsyche","high",5,3
1995,"Hydropsyche","high",6,0
1995,"Hydropsyche","high",7,0
1995,"Hydropsyche","high",8,0
1995,"Hydropsyche","high",9,1
1995,"Hydropsyche","high",10,0
1995,"Hydropsyche","medium",1,1
1995,"Hydropsyche","medium",2,10
1995,"Hydropsyche","medium",3,3
1995,"Hydropsyche","medium",4,1
1995,"Hydropsyche","medium",5,7
1995,"Hydropsyche","medium",6,1
1995,"Hydropsyche","medium",7,1
1995,"Hydropsyche","medium",8,2
1995,"Hydropsyche","medium",9,3
1995,"Hydropsyche","medium",10,0
1995,"Isogenoides","control",1,1
1995,"Isogenoides","control",2,2
1995,"Isogenoides","control",3,3
1995,"Isogenoides","control",4,2
1995,"Isogenoides","control",5,3
1995,"Isogenoides","control",6,1
1995,"Isogenoides","control",7,2
1995,"Isogenoides","control",8,3
1995,"Isogenoides","control",9,1
1995,"Isogenoides","control",10,1
1995,"Isogenoides","high",1,1
1995,"Isogenoides","high",2,1
1995,"Isogenoides","high",3,2
1995,"Isogenoides","high",4,0
1995,"Isogenoides","high",5,2
1995,"Isogenoides","high",6,2
1995,"Isogenoides","high",7,5
1995,"Isogenoides","high",8,0
1995,"Isogenoides","high",9,2
1995,"Isogenoides","high",10,2
1995,"Isogenoides","medium",1,1
1995,"Isogenoides","medium",2,4
1995,"Isogenoides","medium",3,0
1995,"Isogenoides","medium",4,0
1995,"Isogenoides","medium",5,0
1995,"Isogenoides","medium",6,0
1995,"Isogenoides","medium",7,0
1995,"Isogenoides","medium",8,0
1995,"Isogenoides","medium",9,2
1995,"Isogenoides","medium",10,1
1995,"Lepidostoma","control",1,1
1995,"Lepidostoma","control",2,6
1995,"Lepidostoma","control",3,4
1995,"Lepidostoma","control",4,5
1995,"Lepidostoma","control",5,16
1995,"Lepidostoma","control",6,2
1995,"Lepidostoma","control",7,9
1995,"Lepidostoma","control",8,3
1995,"Lepidostoma","control",9,0
1995,"Lepidostoma","control",10,1
1995,"Lepidostoma","high",1,1
1995,"Lepidostoma","high",2,3
1995,"Lepidostoma","high",3,5
1995,"Lepidostoma","high",4,8
1995,"Lepidostoma","high",5,5
1995,"Lepidostoma","high",6,7
1995,"Lepidostoma","high",7,2
1995,"Lepidostoma","high",8,4
1995,"Lepidostoma","high",9,28
1995,"Lepidostoma","high",10,11
1995,"Lepidostoma","low",1,19
1995,"Lepidostoma","low",2,2
1995,"Lepidostoma","low",3,16
1995,"Lepidostoma","low",4,8
1995,"Lepidostoma","low",5,6
1995,"Lepidostoma","low",6,5
1995,"Lepidostoma","low",7,4
1995,"Lepidostoma","low",8,6
1995,"Lepidostoma","low",9,14
1995,"Lepidostoma","low",10,7
1995,"Lepidostoma","medium",1,1
1995,"Lepidostoma","medium",2,2
1995,"Lepidostoma","medium",3,5
1995,"Lepidostoma","medium",4,3
1995,"Lepidostoma","medium",5,3
1995,"Lepidostoma","medium",6,3
1995,"Lepidostoma","medium",7,5
1995,"Lepidostoma","medium",8,7
1995,"Lepidostoma","medium",9,6
1995,"Lepidostoma","medium",10,7
1995,"Leptoceridae","medium",1,0
1995,"Leptoceridae","medium",2,0
1995,"Leptoceridae","medium",3,0
1995,"Leptoceridae","medium",4,0
1995,"Leptoceridae","medium",5,0
1995,"Leptoceridae","medium",6,0
1995,"Leptoceridae","medium",7,0
1995,"Leptoceridae","medium",8,0
1995,"Leptoceridae","medium",9,0
1995,"Leptoceridae","medium",10,0
1995,"Leuctra","control",1,16
1995,"Leuctra","control",2,13
1995,"Leuctra","control",3,9
1995,"Leuctra","control",4,17
1995,"Leuctra","control",5,57
1995,"Leuctra","control",6,26
1995,"Leuctra","control",7,36
1995,"Leuctra","control",8,17
1995,"Leuctra","control",9,8
1995,"Leuctra","control",10,5
1995,"Leuctra","high",1,12
1995,"Leuctra","high",2,15
1995,"Leuctra","high",3,16
1995,"Leuctra","high",4,27
1995,"Leuctra","high",5,36
1995,"Leuctra","high",6,15
1995,"Leuctra","high",7,14
1995,"Leuctra","high",8,33
1995,"Leuctra","high",9,14
1995,"Leuctra","high",10,11
1995,"Leuctra","low",1,17
1995,"Leuctra","low",2,7
1995,"Leuctra","low",3,32
1995,"Leuctra","low",4,11
1995,"Leuctra","low",5,26
1995,"Leuctra","low",6,24
1995,"Leuctra","low",7,16
1995,"Leuctra","low",8,18
1995,"Leuctra","low",9,36
1995,"Leuctra","low",10,13
1995,"Leuctra","medium",1,68
1995,"Leuctra","medium",2,54
1995,"Leuctra","medium",3,19
1995,"Leuctra","medium",4,45
1995,"Leuctra","medium",5,54
1995,"Leuctra","medium",6,33
1995,"Leuctra","medium",7,46
1995,"Leuctra","medium",8,29
1995,"Leuctra","medium",9,25
1995,"Leuctra","medium",10,74
1995,"Lype","medium",1,0
1995,"Lype","medium",2,0
1995,"Lype","medium",3,0
1995,"Lype","medium",4,0
1995,"Lype","medium",5,0
1995,"Lype","medium",6,0
1995,"Lype","medium",7,0
1995,"Lype","medium",8,0
1995,"Lype","medium",9,0
1995,"Lype","medium",10,0
1995,"Molophilus","control",1,0
1995,"Molophilus","control",2,0
1995,"Molophilus","control",3,0
1995,"Molophilus","control",4,0
1995,"Molophilus","control",5,1
1995,"Molophilus","control",6,0
1995,"Molophilus","control",7,0
1995,"Molophilus","control",8,0
1995,"Molophilus","control",9,0
1995,"Molophilus","control",10,0
1995,"Molophilus","high",1,0
1995,"Molophilus","high",2,0
1995,"Molophilus","high",3,0
1995,"Molophilus","high",4,1
1995,"Molophilus","high",5,1
1995,"Molophilus","high",6,1
1995,"Molophilus","high",7,0
1995,"Molophilus","high",8,0
1995,"Molophilus","high",9,0
1995,"Molophilus","high",10,0
1995,"Molophilus","low",1,0
1995,"Molophilus","low",2,0
1995,"Molophilus","low",3,0
1995,"Molophilus","low",4,0
1995,"Molophilus","low",5,0
1995,"Molophilus","low",6,8
1995,"Molophilus","low",7,0
1995,"Molophilus","low",8,0
1995,"Molophilus","low",9,0
1995,"Molophilus","low",10,0
1995,"Molophilus","medium",1,0
1995,"Molophilus","medium",2,0
1995,"Molophilus","medium",3,0
1995,"Molophilus","medium",4,1
1995,"Molophilus","medium",5,0
1995,"Molophilus","medium",6,0
1995,"Molophilus","medium",7,0
1995,"Molophilus","medium",8,0
1995,"Molophilus","medium",9,0
1995,"Molophilus","medium",10,0
